stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,8,108,33,0,55,0,0,0,15,5,2,1,0,7,0,0,1,4,37,1,0,42,598,9,0,9,10,0,32,0,46,5,4,145,147,0,0,7,0,6
 24-34,1.64,1.64,85.37,23.8,0,215.89,7.39,6.57,1.64,23.8,4.1,0.82,2.46,5.75,12.31,1.64,4.93,4.93,17.24,156.78,2.46,0,64.03,1292.03,13.95,9.85,17.24,0,0.82,105.07,0,0.82,4.1,4.1,29.55,247.08,0,0,40.22,0,5.75
 36-46,0,0.81,62.84,8.86,0,280.37,16.11,8.86,4.03,37.06,0.81,0,4.83,4.83,1.61,5.64,2.42,0.81,8.86,150.66,0.81,1.61,46.73,953.11,12.09,6.45,16.11,0,0,111.18,0,0,4.03,6.45,3.22,215.11,0,0,20.95,0,13.7
 48-58,0,0,29.84,3.44,0,329.36,10.33,9.75,7.46,65.99,4.02,1.15,0.57,5.16,2.87,4.59,4.02,1.15,5.74,162.39,0.57,5.74,37.3,697.75,12.05,2.87,8.03,0,0,58.53,0,0,5.16,7.46,0,123.94,0,0.57,17.79,0,8.61
 60-70,0.98,0.98,59.87,9.82,0,541.8,18.65,17.67,7.85,87.36,9.82,1.96,2.94,11.78,1.96,11.78,3.93,5.89,8.83,329.79,5.89,14.72,39.26,924.59,14.72,8.83,17.67,0,1.96,93.24,0,0,6.87,17.67,0,100.12,0,5.89,29.45,1.96,16.69
 72-82,1.96,0,60.86,37.3,12.76,482.98,14.72,9.82,24.54,146.27,27.49,1.96,5.89,24.54,8.83,10.8,18.65,8.83,3.93,400.52,5.89,12.76,47.12,778.46,11.78,17.67,26.5,0.98,1.96,120.74,0,0,14.72,9.82,0,53.01,3.93,7.85,56.94,13.74,17.67
 84-94,4.25,0,129.57,30.8,31.86,429.06,28.68,22.3,22.3,111.51,42.48,5.31,4.25,37.17,26.55,23.36,9.56,20.18,10.62,317.55,8.5,14.87,49.92,466.23,22.3,14.87,15.93,0,4.25,291,0,0,46.73,32.92,0,38.23,7.43,10.62,40.36,14.87,9.56
 96-106,1.09,0,111.47,16.39,39.34,259,28.41,15.3,14.21,95.08,42.62,0,4.37,40.44,12.02,20.76,6.56,19.67,2.19,232.78,6.56,6.56,45.9,337.69,14.21,18.58,25.14,1.09,6.56,234.96,0,0,24.04,30.6,0,12.02,8.74,8.74,43.71,13.11,19.67
108-118,2.3,0,177.7,30.64,142.47,238.98,30.64,50.55,15.32,94.21,75.06,0,2.3,32.17,22.21,22.21,12.26,56.68,5.36,209.87,7.66,6.89,50.55,404.43,16.09,13.79,31.4,0,4.6,219.07,0,0,26.04,26.81,0,16.85,8.43,6.89,35.23,8.43,19.15
120,5.88,0,299.85,70.55,47.03,323.36,48.99,54.87,17.64,154.82,123.47,0,5.88,68.59,29.4,31.36,13.72,88.19,3.92,352.76,15.68,13.72,56.83,605.57,41.16,21.56,37.24,0,0,254.77,1.96,1.96,39.2,15.68,0,29.4,13.72,9.8,88.19,15.68,19.6
