stage,blastomeres,epidermis,erythrocytes,eye,gut,immune,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,4.93,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0.57,2.3,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,2.94,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0.77,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,3.92
