stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,29.55,0,0.82,0.82,0,0,0,0,9.85,0,0,7.39,0,0,6.57,16.42,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,35.45,0,4.03,0,0,0,0,0,8.06,0,0.81,20.95,0,0,2.42,55.59,0,0.81,0,0,1.61,0,0.81,0,0,0,0,0
 48-58,0,16.07,0,5.74,0,0.57,1.15,0.57,0,2.87,0,0,30.41,0,0,4.59,28.12,0,0,0,0,2.3,0,5.16,0,0,1.15,0,0.57
 60-70,0,4.91,0,2.94,0,2.94,0,0,0.98,0.98,0,0,50.06,0,0,7.85,20.61,0,0,0,0,0.98,0,2.94,0,0.98,0,0,0
 72-82,0,2.94,0.98,14.72,1.96,5.89,0,0,0.98,1.96,0,0,141.36,0,0,12.76,21.6,0,0,0,0,0.98,0,3.93,0,0.98,0,0.98,0
 84-94,0,7.43,1.06,9.56,2.12,2.12,1.06,0,0,2.12,0,0,89.21,0,0,10.62,16.99,0,0,0,0,1.06,0,0,2.12,2.12,0,0,1.06
 96-106,0,7.65,1.09,8.74,0,7.65,1.09,0,1.09,1.09,0,0,156.28,0,1.09,4.37,19.67,0,0,0,0,2.19,0,1.09,1.09,2.19,0,0,1.09
108-118,0,3.06,0,8.43,0.77,5.36,0,0.77,0,0,0.77,0,147.06,0.77,1.53,3.06,18.38,0,0,0,1.53,1.53,0,0.77,0.77,2.3,0,0,0
120,0,1.96,0,0,0,7.84,1.96,0,1.96,1.96,0,0,94.07,0,0,3.92,13.72,0,0,0,0,1.96,0,0,0,0,0,0,0
