stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,2648.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0
  5-6,85.81,1127.85,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,0,1,1,1,0,1,0,0,0,1,40,0,0,0,0
 24-34,0,0,0,0,6.57,0.82,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,0,4.93,0,0,3.28,581.99,0.82,16.42,0,0,0,0,0,0.82,0.82,0.82,122.31,0,0,0,0.82
 36-46,0,0,0,0,1.61,0,0,29,1.61,0,0,9.67,0,0,0,0,0,0,0,0,0.81,12.89,0,0,0.81,1579.11,0,18.53,0,0,0,1.61,0,0,0,0,259.43,0,0,0,0.81
 48-58,0,0,0,0,3.44,0.57,0,158.37,1.15,1.72,0.57,49.92,0,0,0.57,0.57,0,1.15,0,0,1.72,17.21,0.57,0.57,2.3,1866.01,0,8.03,0,0,0.57,1.15,0,0,0.57,0,300.67,0,0.57,0,1.15
 60-70,0,0,0,0,0.98,0,0,295.44,0,0,0,70.67,0,0,1.96,0,0,0,0,0,0.98,11.78,0,0,3.93,2044.51,0,7.85,0.98,0,0,3.93,0,0,0,0,283.66,0,0,0,0.98
 72-82,0,0,0,0,5.89,0.98,0,259.16,0.98,0.98,0,98.17,0.98,0,0,0.98,0,0,0.98,0.98,0.98,29.45,0,0.98,5.89,1471.51,1.96,9.82,0.98,0,0.98,0.98,0,0,0,0,134.49,0.98,1.96,0.98,2.94
 84-94,0,0,1.06,0,11.68,2.12,0,186.92,0,0,0,74.34,0,1.06,1.06,2.12,1.06,2.12,0,0,0,23.36,0,1.06,2.12,662.71,0,3.19,1.06,0,0,4.25,0,1.06,0,0,71.16,1.06,3.19,0,1.06
 96-106,0,0,1.09,0,1.09,5.46,1.09,139.88,0,1.09,1.09,69.94,0,0,0,2.19,1.09,0,1.09,0,0,18.58,0,0,3.28,471.02,0,8.74,2.19,0,0,4.37,0,0,0,0,28.41,0,1.09,1.09,0
108-118,0,0,0,0,6.13,1.53,0,101.87,1.53,0,0,60.51,0,0,0,2.3,0,0,0,0,0.77,11.49,0,0,0,590.56,1.53,6.89,1.53,0,0,0,0,0,0,0,22.21,0,0.77,0.77,0
120,0,0,0,0,5.88,3.92,0,111.71,1.96,0,0,68.59,0,0,0,0,1.96,0,0,3.92,0,15.68,0,1.96,1.96,693.76,0,15.68,0,0,0,9.8,0,0,0,0,23.52,0,3.92,0,1.96
