stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,90,1,1,0,0,1,0,1,9,32,0,0,4,0,0
 24-34,0,0,14.78,0,0,3.28,2.46,0.82,0,0,0,0,0,0.82,0,0,0.82,0,13.95,0,0,10.67,275.81,0,8.21,0.82,0,1.64,0,0,0,73.88,0,0,3.28,0,0.82
 36-46,0,0,6.45,0,0,29,0,0,4.83,0,0,0,0,0,0.81,0,0,0,10.47,0,1.61,4.83,528.52,0.81,6.45,0,0,0,0,0.81,0,117.63,0,0.81,0,0,0
 48-58,0,0,2.3,0,0,68.28,1.15,0,8.61,0,0,0,0,0,0,0,0,0.57,13.2,0,0,3.44,757.42,0,4.59,0,0,1.72,0,0,0,132.55,0,0,1.15,0,0.57
 60-70,0,0,4.91,0.98,0,116.8,0.98,0,14.72,0,0,0,0,0,0.98,0,0,0,13.74,0,0.98,0.98,1275.98,0.98,5.89,1.96,0,2.94,0,0,0,117.78,0,0.98,0,0,0
 72-82,0,0.98,11.78,3.93,0,236.58,0,2.94,32.39,0.98,0,1.96,0.98,0,0.98,0,0,0.98,48.1,0,3.93,1.96,1733.61,0,8.83,1.96,0,1.96,0,0,0,122.71,0,1.96,1.96,0.98,2.94
 84-94,0,2.12,8.5,2.12,0,110.45,2.12,0,16.99,0,0,0,1.06,1.06,1.06,1.06,0,0,16.99,0,0,2.12,630.85,0,1.06,0,0,3.19,0,0,0,37.17,2.12,1.06,1.06,3.19,0
 96-106,0,0,14.21,2.19,0,78.68,1.09,0,22.95,1.09,0,0,1.09,1.09,1.09,0,1.09,0,14.21,0,1.09,5.46,668.82,0,3.28,1.09,0,3.28,0,0,0,31.69,0,0,2.19,1.09,2.19
108-118,0,0.77,8.43,0.77,1.53,72,0.77,0,14.55,1.53,0,0,0,0.77,3.83,0.77,1.53,0,15.32,0.77,0.77,5.36,903.84,0,3.06,0.77,0,2.3,0,0,0,24.51,0,0,1.53,0,0
120,0,0,13.72,5.88,1.96,97.99,1.96,0,19.6,3.92,0,0,5.88,0,0,0,0,0,19.6,0,1.96,7.84,1266.02,0,3.92,0,0,1.96,0,0,0,33.32,0,0,3.92,0,0
