stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,13.14,0,0,0,31.54,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,11,2,16,0,0,0,0,0,2,0,113,0,0,0,2,0,0,2,11,0,0,0,0
 24-34,0,8.21,0,47.61,1.64,0,0,0,0.82,2.46,3.28,178.95,0,0,0,0,0.82,0,0.82,37.76,0,0,0,0
 36-46,0,4.83,0,36.26,9.67,0,0,0,0,4.83,1.61,104.74,0,0,0.81,0,0,0.81,0,38.67,0,0,0,0
 48-58,0,1.72,0,42.46,7.46,0,0.57,0,0,1.15,0,25.25,0,0.57,0.57,0,0,0,0,31.56,0,0,0,0
 60-70,0,0.98,0,32.39,3.93,0,0,0,0,2.94,0,12.76,0,0,0,0,0.98,0,0,5.89,0,0,0.98,0
 72-82,0.98,2.94,0,41.23,21.6,0,0.98,0.98,0,4.91,0,15.71,0,0,0,0,1.96,0,0,1.96,0,0.98,0,0
 84-94,0,1.06,1.06,23.36,5.31,0,0,0,0,7.43,0,5.31,0,1.06,0,0,0,0,0,1.06,0,1.06,0,1.06
 96-106,0,2.19,0,25.14,9.84,2.19,0,0,0,4.37,0,6.56,0,0,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,2.3,0,9.19,11.49,0,0,0,0,1.53,0,7.66,0,0,0,0,1.53,0,0,0,0,0,0,0.77
120,0,0,0,11.76,5.88,0,0,0,0,1.96,0,7.84,1.96,0,0,0,0,0,0,0,0,0,0,0
