stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,24,5,4,0,1,0,0,0,13,0,25,0,0,0,15,0,1,0,1,10,0,0,1,0,0,11,8,0,0,0,0
 24-34,0,0,0,19.7,0,0,0,0,0,0,0,13.13,0,59.92,0.82,0,0,13.95,0,0.82,1.64,0,9.03,0,0,0.82,0.82,0,28.73,1.64,0,0,0,0
 36-46,0,0,0,3.22,0,0,0,1.61,0,0,0.81,16.92,0,70.09,0,0,0,10.47,0,1.61,0,0.81,8.06,0,0,0,0,0,11.28,2.42,0,0,0,0
 48-58,0,0,0,4.02,0.57,0,0,4.02,0,0,1.15,32.71,0,72.3,0,0,0,19.51,0,1.15,0,1.15,9.18,0,0,0.57,0.57,0,9.75,1.72,0,0,0,0
 60-70,0,0,1.96,0,0.98,0,0.98,2.94,0,0,0.98,67.73,0,61.84,0,0,0,23.56,0,1.96,0,0.98,8.83,0,0,0,0,0,11.78,0,0,0,1.96,0
 72-82,0,0,5.89,0,0.98,4.91,0.98,14.72,0,0.98,10.8,201.24,0,109.95,1.96,0,0.98,118.78,0,16.69,0,0.98,57.92,0,0,0.98,1.96,0,36.32,1.96,0,0,3.93,1.96
 84-94,0,0,2.12,1.06,3.19,0,3.19,9.56,0,0,2.12,375.96,0,130.63,6.37,0,0,355.78,1.06,23.36,0,1.06,31.86,0,1.06,0,6.37,0,59.47,2.12,0,0,0,0
 96-106,0,0,7.65,1.09,3.28,4.37,1.09,16.39,0,2.19,15.3,421.84,0,157.37,1.09,1.09,0,508.17,0,56.83,2.19,1.09,111.47,2.19,0,1.09,6.56,0,46.99,3.28,1.09,1.09,4.37,0
108-118,0,0,1.53,2.3,6.13,4.6,3.83,9.19,1.53,0.77,13.02,280.34,0.77,106.47,2.3,0,0,667.92,0,30.64,0,1.53,68.17,0,1.53,2.3,3.83,0,35.23,0.77,1.53,0,3.83,0
120,0,0,0,0,0,0,1.96,7.84,0,1.96,11.76,160.7,1.96,127.39,1.96,1.96,1.96,241.05,0,25.48,0,1.96,39.2,1.96,0,0,0,0,27.44,0,0,0,3.92,0
