stage,axial,blastomeres,endoderm,eye,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,171.63,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,2.63,0,0,2.63,0,0,0,52.57,0,23.66,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,50.35,0,3.15,0,0,3.15,0
 14-21,0,0,0,0,0,1,0,2,0,2,9,0,1,0,1,0,9
 24-34,0,0,0,0,0,0,0,2.46,0,1.64,13.13,0,0,0,0,0,5.75
 36-46,0,0,0,3.22,0,0,0,0,0,1.61,11.28,0,0,0,0,0,4.83
 48-58,0,0,0,1.72,1.15,0,0,1.72,0.57,0.57,5.16,0,0,0,0,0,1.72
 60-70,0,0,0,2.94,0,0,0,2.94,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,0,2.19,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
