stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites
  3-4,0,434.87,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,36.78,551.67,0,0,0,0,12.26,6.13,18.39,0,0,0,0,0
  7-9,10.51,10.51,42.06,0,94.63,5.26,644.03,15.77,239.21,0,5.26,0,0,0
 10-12,0,37.76,56.65,6.29,100.7,15.73,1000.74,12.59,525.54,0,6.29,6.29,56.65,6.29
