stage,epidermis,erythrocytes,eye,ionocyte,liver,mesenchyme,neural,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,6,0,0,0,1,2,0,0,0,0,1
 24-34,6.57,0,0,0,0,0,0.82,0,0,0,0,5.75
 36-46,4.83,0,0,0,0,0.81,1.61,0,0,0,0,1.61
 48-58,0.57,0,0,0,0,2.3,1.15,0,0,1.15,0,2.87
 60-70,1.96,0,0,0.98,0,3.93,4.91,0,0,0,0,4.91
 72-82,0,0,0.98,0,0,4.91,8.83,0,0,0.98,0,5.89
 84-94,1.06,0,1.06,0,0,7.43,2.12,1.06,0,0,0,5.31
 96-106,1.09,0,1.09,1.09,1.09,2.19,4.37,0,0,1.09,0,4.37
108-118,1.53,0,0,0.77,0,3.06,6.13,0.77,0,0.77,0.77,3.06
120,0,0,0,0,1.96,5.88,11.76,3.92,0,0,0,3.92
