stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0.82,1.64,0,0,0,0,0,0,0,0,0,0.82,0,4.93,0,1.64,0,0.82,0,0,0,0
 36-46,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0.81,2.42,0,1.61,0,0,0,0,0,0
 48-58,0.57,1.72,0,0,0.57,0.57,0.57,0,0.57,0,0,0,0,6.31,0,1.15,0,0,1.15,0,1.15,0
 60-70,1.96,1.96,0,0,0.98,0,0,0.98,0,0,0,0,0,5.89,0.98,1.96,0.98,0,0.98,0,0,0
 72-82,0.98,1.96,1.96,0,1.96,0,0,0,0,0,0,0.98,0.98,0.98,2.94,0,0,0,0,0.98,0,0
 84-94,1.06,1.06,0,0,1.06,0,0,0,0,0,0,1.06,0,3.19,0,3.19,0,0,0,0,0,0
 96-106,0,3.28,0,0,4.37,0,0,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0,1.09,0,0
108-118,0,0.77,0,0.77,0,0,0,0.77,0,0.77,0.77,0,0,1.53,0,0.77,0,0,0,0,0,0
120,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,1.96
