stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,4,0,0,0,0,1,2,2,23,0,0,0,0,0
 24-34,0,0.82,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,118.2,0,0,0.82,0,0.82,0,0,0,58.28,0,0,0,0,0
 36-46,0,0.81,0,3.22,0,0,0,1.61,0,0,0,0,0.81,0,0,0,1.61,0,0,261.84,0,0,0,0,0.81,0,1.61,0,55.59,0,0,0,0,0.81
 48-58,0,1.15,0,9.75,0.57,0,0,8.03,0,0,0,0,0,0.57,0,0,6.31,0,1.15,362.64,0,0,0,0,1.15,0,0,0,44.18,0,0,0,0,0.57
 60-70,0,1.96,0,57.91,0,0,0.98,5.89,0,0,0,0,0,0,0,0,7.85,0,0.98,640.93,0,0,0,0,0,0,0.98,0,43.19,0,0,0,0,0
 72-82,0,5.89,1.96,150.19,0,0.98,3.93,21.6,0,0.98,0.98,0,0,0.98,0,0.98,13.74,0.98,2.94,728.39,0,0.98,2.94,0,1.96,0,0.98,0,31.41,0.98,0.98,3.93,0.98,0.98
 84-94,0,10.62,0,93.46,1.06,1.06,3.19,13.81,0,0,0,0,1.06,2.12,0,0,12.74,0,2.12,375.96,0,0,4.25,0,2.12,0,0,0,13.81,0,0,0,1.06,1.06
 96-106,0,4.37,1.09,103.82,0,2.19,0,13.11,0,1.09,0,1.09,1.09,2.19,1.09,0,16.39,0,2.19,340.97,0,1.09,2.19,1.09,1.09,0,0,0,8.74,1.09,0,3.28,1.09,0
108-118,0,1.53,0,65.87,0.77,0,0,13.79,0.77,0,0,0,0,1.53,0,0,6.89,0,1.53,324.77,0,1.53,2.3,0,0,0,2.3,0,8.43,0.77,0,1.53,0,0
120,0,9.8,0,62.71,0,0,0,13.72,0,0,0,0,0,1.96,0,0,3.92,0,0,331.2,0,0,5.88,0,0,0,0,0,9.8,0,0,1.96,0,0
