stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,15.77,7.89,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,1.64,0,2.46,0,0,0,0.82,1.64
 36-46,0,0,0.81,0.81,0.81,0,0,0,0,0,0.81,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0.57,0,0,0
 60-70,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,1.96,0,0,0,0,0
 84-94,0,0,3.19,1.06,0,1.06,0,1.06,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,11.49,0,0,0,0.77,0.77,0.77,0.77,0,0.77,3.06,0,1.53,0,0,0
120,0,0,7.84,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0
