stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,1,0,0,4,0,0,0,0
 24-34,0,0,0,0,4.93,0,3.28,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,56.64,0,0,0,0,0,0,4.1,13.95,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0.81,0,3.22,0,0,0,0,0,0,0,0,1.61,0,0,155.49,0.81,0,0,0,1.61,0,3.22,22.56,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,37.87,0,0,6.31,0,0,0,0,0,0,0,0,1.72,0,0,381.58,1.72,0,0,0,0,0,2.87,43.04,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,123.67,0,0.98,15.7,0,0,0,0,0,0,0,0,2.94,0,0,805.83,2.94,0,0.98,0,0.98,0,1.96,42.21,0,0,0.98,0
 72-82,0,0,0.98,0,7.85,0,235.6,0,0.98,42.21,0.98,0,0,0.98,0.98,0,0,0,14.72,0,0,1149.53,0.98,0,2.94,0.98,0.98,0,5.89,53.99,0.98,0,1.96,0
 84-94,0,0,1.06,0,4.25,0,159.31,1.06,0,31.86,1.06,0,0,1.06,0,0,0,1.06,7.43,0,2.12,514.03,1.06,1.06,2.12,0,0,0,11.68,26.55,1.06,0,2.12,0
 96-106,1.09,0,3.28,0,5.46,1.09,135.51,0,0,30.6,1.09,0,0,0,0,1.09,0,0,4.37,0,0,487.41,1.09,1.09,7.65,1.09,0,1.09,5.46,17.49,0,1.09,0,0
108-118,0,0,3.83,0,5.36,0.77,115.66,0,0,24.51,0.77,0,0.77,0.77,0,0,0,0.77,8.43,1.53,0,518.56,3.06,0,3.83,0,0,0,9.96,10.72,2.3,0,0.77,0
120,0,0,0,1.96,1.96,3.92,154.82,0,1.96,23.52,1.96,0,0,0,0,1.96,1.96,0,3.92,1.96,0,805.47,1.96,0,0,0,3.92,0,1.96,35.28,1.96,0,0,0
