stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,9.44,0,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,46,1,0,1,0,0,0,1,3,0,7,0,0,0,0,0,0,10,0,11,29,246,0,0,1,0,1,0,7,0,109,110,18,0,0,0,0
 24-34,0,2.46,33.66,0,0,13.95,11.49,2.46,1.64,8.21,0,0,4.1,0,0,0,0,0,0.82,24.63,0,34.48,43.51,24.63,0,0,0,0,2.46,0,0.82,0.82,36.12,42.68,28.73,0,9.03,0,0.82
 36-46,0,0.81,16.11,0,0,10.47,18.53,1.61,0.81,10.47,0,0,0.81,0,0,0.81,0.81,0,0,29,0.81,16.11,38.67,12.09,0.81,1.61,0,0,2.42,0,0,0.81,10.47,3.22,30.62,0,7.25,0,0.81
 48-58,0,0,18.36,0.57,0,14.35,23.53,2.87,1.15,28.69,1.15,0.57,2.87,0,0,0,1.72,1.15,1.72,45.9,4.02,16.07,38.44,4.59,0.57,1.15,0.57,0,1.72,0,0,0,8.61,0,37.3,0.57,9.18,0,1.72
 60-70,0,0,18.65,0.98,0,28.46,14.72,11.78,0.98,70.67,3.93,0,0.98,0,0,1.96,0,3.93,0.98,53.98,3.93,15.7,22.58,3.93,0,3.93,0,0,1.96,0,0,0.98,12.76,0,26.5,0.98,3.93,0.98,0.98
 72-82,0,0,23.56,0.98,1.96,34.36,26.5,10.8,3.93,118.78,2.94,0,2.94,0.98,0,1.96,0,5.89,0.98,90.31,5.89,19.63,23.56,3.93,0,0.98,0.98,2.94,2.94,0,0,0,6.87,0,27.49,3.93,13.74,11.78,0.98
 84-94,0,0,29.74,1.06,0,48.85,28.68,16.99,2.12,80.71,2.12,0,0,1.06,0,2.12,0,7.43,3.19,41.42,5.31,16.99,23.36,3.19,0,7.43,0,1.06,4.25,1.06,0,1.06,15.93,0,25.49,5.31,4.25,12.74,2.12
 96-106,0,0,46.99,1.09,1.09,29.51,34.97,13.11,1.09,90.71,4.37,0,3.28,1.09,1.09,3.28,0,16.39,0,65.57,2.19,16.39,33.88,1.09,2.19,12.02,0,4.37,6.56,0,0,1.09,7.65,0,25.14,4.37,8.74,3.28,5.46
108-118,0.77,0,54.38,0,6.13,42.89,27.57,19.92,2.3,77.36,2.3,0,0.77,0,0.77,8.43,0.77,29.11,0,55.92,3.83,18.38,23.74,5.36,0.77,11.49,0,2.3,2.3,0,0,0,10.72,0,14.55,7.66,5.36,5.36,1.53
120,0,0,50.95,0,1.96,27.44,37.24,15.68,0,62.71,5.88,0,0,0,0,0,0,37.24,0,35.28,5.88,17.64,25.48,7.84,0,7.84,0,3.92,5.88,0,0,0,3.92,0,7.84,3.92,7.84,5.88,0
