stage,epidermis,eye,fin_epithelia,glial,hatching_gland,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,13.95,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0.81,0.81,0.81,0,0.81,50.76,0,0.81,0,0,4.03,0,0,0
 48-58,0,2.3,0,0.57,0,0,0,0,0,60.82,0,1.72,0,0,4.02,0,0,0
 60-70,0,5.89,0,2.94,0,0,0,0,0.98,133.49,0,1.96,0,0.98,5.89,0,0,0
 72-82,0.98,29.45,0.98,2.94,0,1.96,0,0,0,160.01,0,2.94,0,0,4.91,0,0.98,0.98
 84-94,0,25.49,0,2.12,0,3.19,0,1.06,0,63.72,0,4.25,0,1.06,3.19,0,0,1.06
 96-106,1.09,20.76,0,6.56,0,2.19,0,0,0,68.85,0,1.09,0,1.09,0,1.09,0,0
108-118,1.53,14.55,0,4.6,0,2.3,0,0,0,86.55,0,2.3,0,0,1.53,0,0,0
120,0,7.84,0,3.92,0,0,0,0,0,84.27,0,0,0,1.96,0,0,0,0
