stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,4,0,0
 24-34,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0.82,28.73,0,0.82,0,0,0,4.1,0,0
 36-46,0,0.81,0,2.42,0,0,0,0,0,0.81,0,0,0,0.81,0.81,54.79,0,0,0,0,0,8.86,0.81,0
 48-58,0,0,0,3.44,0,0.57,4.59,0,2.3,0,0,0,0,0.57,0,32.71,0,0,0,0,0,5.74,0,0
 60-70,0,0,0,2.94,0,0,1.96,0,2.94,0,0,0,0.98,0.98,0,37.3,0,0,1.96,0.98,0,7.85,0,0
 72-82,0,0,0,7.85,0,0,1.96,0,1.96,0,0,0,0,2.94,0.98,37.3,0,0.98,0.98,0,0,2.94,0,0.98
 84-94,0,0,0,7.43,0,0,4.25,0,0,0,1.06,1.06,0,4.25,0,15.93,1.06,0,0,0,0,3.19,0,0
 96-106,0,0,0,3.28,0,0,2.19,0,0,0,0,0,0,2.19,1.09,14.21,0,0,2.19,0,0,3.28,0,1.09
108-118,0,1.53,0,0.77,0.77,0,0.77,0.77,0,0,0,0,0,4.6,0,17.62,0,0,1.53,0.77,0,1.53,0,0
120,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,19.6,0,0,1.96,3.92,0,0,0,0
