stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,17,41,11,0,23,0,1,0,2,3,0,1,0,3,0,0,1,0,36,0,0,22,221,8,0,13,7,0,5,19,6,2,62,78,0,0,0,0,0
 24-34,0,0,4.93,13.95,2.46,0,41.86,0,0,3.28,3.28,0.82,0,1.64,0,4.93,0,0.82,0.82,0,62.39,0,1.64,26.27,334.91,7.39,0,13.13,0,0,19.7,0,4.93,5.75,23.8,79.62,0,0,26.27,0,0
 36-46,0,0,0,8.86,0,0,29,2.42,0.81,1.61,20.95,0,0,3.22,0,1.61,1.61,0.81,1.61,3.22,72.51,0,0.81,22.56,190.94,2.42,1.61,6.45,0,0,17.72,0,0,1.61,0.81,50.76,0,0,12.89,0,0.81
 48-58,0,0,0,5.16,1.72,0,27.54,4.59,1.15,1.72,34.43,1.15,0.57,1.72,1.15,1.72,0,2.3,0.57,0.57,86.64,1.72,3.44,13.77,71.15,2.87,0,6.31,0,0.57,12.62,0,0.57,1.15,0,21.23,0,0,10.9,0,1.72
 60-70,0,0,0,12.76,1.96,0,25.52,3.93,0.98,1.96,41.22,2.94,0,1.96,0,1.96,0.98,0.98,1.96,0,119.75,0,5.89,14.72,53,6.87,0,5.89,0,0,6.87,0,0,2.94,0,15.7,0,0,11.78,0.98,2.94
 72-82,0,0,0,14.72,6.87,0,21.6,2.94,0,9.82,44.17,2.94,0,5.89,0.98,1.96,0,6.87,0.98,2.94,158.05,0.98,8.83,12.76,43.19,1.96,1.96,12.76,0,1.96,18.65,0,0,0.98,0,3.93,0.98,3.93,16.69,5.89,0
 84-94,0,1.06,0,13.81,18.05,3.19,33.99,3.19,2.12,4.25,37.17,7.43,1.06,5.31,4.25,5.31,1.06,0,8.5,0,91.34,2.12,7.43,18.05,29.74,5.31,0,10.62,0,1.06,43.54,0,3.19,1.06,0,6.37,0,2.12,13.81,6.37,0
 96-106,0,1.09,0,15.3,4.37,1.09,36.06,2.19,3.28,4.37,21.86,4.37,0,3.28,0,10.93,2.19,3.28,4.37,2.19,119.12,2.19,6.56,9.84,25.14,2.19,3.28,15.3,0,0,33.88,0,0,1.09,0,3.28,0,2.19,22.95,5.46,1.09
108-118,0,0.77,0,29.11,0.77,0.77,24.51,4.6,3.06,4.6,26.81,3.06,0,1.53,1.53,7.66,3.06,2.3,6.89,5.36,72.77,2.3,4.6,13.79,38.3,6.89,0.77,12.26,0,0,29.11,0,3.06,0.77,0,6.13,0,2.3,7.66,3.06,3.83
120,1.96,0,0,27.44,7.84,0,19.6,3.92,5.88,1.96,31.36,1.96,0,0,5.88,9.8,0,0,1.96,0,60.75,0,0,15.68,29.4,1.96,0,5.88,0,0,27.44,0,0,1.96,0,0,0,1.96,1.96,3.92,0
