stage,epidermis,eye,glial,gut,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,spinal_cord,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0.82,0,0,0,0,4.1,0,0,0,4.1,0,8.21,0.82,0.82
 36-46,0,0,0,0,0,0.81,1.61,0,0,2.42,0,7.25,0,0
 48-58,0,0,0.57,0,0,1.72,1.15,0,1.15,1.72,0,2.87,1.15,1.15
 60-70,0,0.98,0.98,0.98,0,0.98,0.98,0,0,0.98,0,4.91,0,0
 72-82,0,0,0,0,0,0,3.93,0,0,0.98,0,0.98,0,0
 84-94,1.06,0,0,0,0,2.12,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,1.09,0,2.19,0,0
108-118,0,0,0.77,0,0.77,3.06,2.3,0.77,0.77,0,0.77,3.83,0,0
120,1.96,1.96,0,0,0,1.96,3.92,0,0,0,0,9.8,0,0
