stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1199.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,852.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,24.52,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,18.4,0,36.8,0,0,0,81.49,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,559.92,10.51,0,0,260.24,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,15.73,0,0,0,66.09,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,563.31,9.44,0,0,166.79,0,6.29,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,1,3,57,8,0,32,0,0,0,9,1,0,0,0,1,1,1,0,30,0,0,20,423,11,5,2,11,14,0,42,1,23,94,0,0,3,0,0
 24-34,0,0,0,1.64,19.7,4.93,0,175.66,0,0,0.82,12.31,0,0,2.46,3.28,0.82,2.46,1.64,1.64,86.19,0.82,0,32.83,950.55,1.64,4.93,10.67,0,16.42,0,0,0.82,4.93,202.75,0,0,6.57,0,0.82
 36-46,0,0,0,0,3.22,2.42,0,295.68,0,0.81,0,16.11,0.81,0,0.81,0,0,1.61,0,0.81,40.28,0,0.81,9.67,534.16,0,4.03,0.81,0,8.86,0,0,0,0,117.63,0,0,2.42,0,0
 48-58,0,0,0,0,9.18,2.87,0,359.2,0,0.57,1.15,16.64,0,0,0,1.72,0,0.57,1.15,0,64.27,0,2.3,8.03,253.05,1.15,1.15,2.3,0,1.72,0,0,0,0,32.71,0,0,2.3,0,0
 60-70,0,0,0,0,17.67,0,0,336.66,0,0,0,28.46,0.98,0,0,0.98,0.98,0,1.96,0.98,67.73,0,4.91,6.87,167.84,0,1.96,2.94,0,1.96,0,0,0,0,9.82,0,0,4.91,0,0.98
 72-82,0,0,0,0,7.85,0,0,100.13,0.98,0,0.98,17.67,0.98,0,0,0.98,0,0,0.98,0,61.84,0,0,12.76,110.93,0,0.98,1.96,0,0.98,0,0,0,0,0.98,1.96,0.98,0.98,0,0
 84-94,0,0,0,1.06,7.43,2.12,0,72.22,0,0,2.12,22.3,2.12,0,0,6.37,2.12,1.06,1.06,0,58.41,0,6.37,10.62,69.03,0,2.12,2.12,0,1.06,0,0,0,0,2.12,1.06,0,6.37,2.12,0
 96-106,0,0,0,0,4.37,0,0,49.18,0,0,0,8.74,1.09,0,0,1.09,1.09,1.09,0,0,14.21,0,1.09,2.19,46.99,0,4.37,3.28,0,1.09,0,0,0,0,2.19,0,0,3.28,0,0
108-118,0,0,0,0,3.83,3.06,0.77,53.62,0,0,0,9.96,1.53,0,0,3.83,0,0,0.77,0.77,11.49,0,1.53,4.6,66.64,0,0,0.77,0,0,0,0,0.77,0,0.77,0,0,3.06,0,0
120,0,0,0,0,11.76,9.8,0,101.91,0,0,0,17.64,1.96,0,0,5.88,5.88,1.96,1.96,1.96,29.4,0,1.96,3.92,103.87,1.96,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0
