stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,821.37,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,18.39,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,5.26,0,23.66,0,0,49.95,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,473.17,23.66,0,0,147.21,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,40.91,0,3.15,40.91,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,352.46,9.44,0,0,132.17,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,17,4,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,101,5,0,1,5,0,0,16,0,2,10,40,0,0,1,0,0
 24-34,0,0,0,0.82,8.21,0,13.13,0,0,4.93,1.64,0,0,0,0.82,0.82,0,0,18.06,1.64,0,7.39,183.05,1.64,1.64,3.28,0,1.64,0,0,0,0,3.28,40.22,0,0,0,0,0
 36-46,0,0,0,0,2.42,0.81,37.06,0,0.81,10.47,0,0,0,0,0,0,0,0,18.53,0,0,4.03,168.38,0,1.61,0.81,0,4.83,0,0,0.81,0,0,37.06,0,0,3.22,0,0
 48-58,0,0,0,0,0.57,0,35.58,0.57,0.57,9.18,0,0.57,0.57,0.57,0,0,1.72,0.57,21.8,0.57,0,2.87,103.28,0,2.3,1.15,0,1.72,0,0,0,0.57,0,17.21,0,0,1.72,0,0.57
 60-70,0,0,0,0,3.93,0,36.32,1.96,0,19.63,1.96,0,0.98,0.98,0.98,0,0.98,0,29.45,0.98,0.98,1.96,78.52,0,0,0.98,0,2.94,0,0,0,0,0,12.76,0,0,1.96,0,0
 72-82,0,0,1.96,0,2.94,4.91,30.43,0,0,17.67,0.98,0,0,2.94,4.91,0,0.98,0,35.34,1.96,0.98,7.85,87.37,0,1.96,1.96,0,2.94,0,0,0,0,0,6.87,0,0.98,0.98,1.96,0
 84-94,0,0,0,0,6.37,0,33.99,1.06,2.12,7.43,0,0,0,2.12,0,1.06,2.12,0,43.54,0,2.12,5.31,53.1,0,1.06,1.06,0,11.68,0,0,0,0,0,1.06,0,0,2.12,2.12,1.06
 96-106,0,0,1.09,0,6.56,5.46,18.58,3.28,0,8.74,2.19,0,0,6.56,2.19,1.09,2.19,0,20.76,0,1.09,2.19,37.16,0,3.28,1.09,0,4.37,0,0,0,0,0,3.28,3.28,0,3.28,1.09,0
108-118,0,0,0,0.77,4.6,0.77,13.02,0,1.53,7.66,2.3,0,0,3.83,0.77,1.53,0,0,19.92,0,0.77,2.3,45.96,0.77,1.53,3.83,0,3.83,0,0,0,0,0,0.77,0.77,0,3.06,1.53,0
120,0,0,0,0,5.88,0,17.64,1.96,0,11.76,1.96,0,0,7.84,0,0,1.96,0,27.44,0,1.96,5.88,43.12,0,0,0,0,7.84,0,0,0,0,0,0,0,0,3.92,0,1.96
