stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,277,1,1,2,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0.82,1.64,0,0,8.21,0,0.82,0,266.78,0,0,1.64,0,0,0,0.82
 36-46,0,1.61,0,0,0.81,0,0,0,0,0,0.81,0.81,0,0.81,3.22,0.81,0,0,182.89,0,0,0,0,0,0,0
 48-58,0,2.87,1.72,2.3,0,0,0,0,0,0,2.3,1.15,0,0.57,8.03,0,0,0,123.37,0,0,2.3,0,0,0,0
 60-70,0,13.74,4.91,4.91,0,1.96,0,0.98,0,0,0.98,0,0,0,3.93,0,0,0,149.19,0,0,0.98,0,0,0,0
 72-82,0,33.38,2.94,1.96,0,0.98,0,0,0.98,0,0.98,0,0,0,4.91,0,1.96,0,156.08,0,0,0,0,0,0,0
 84-94,0,46.73,1.06,16.99,0,1.06,2.12,0,6.37,0,2.12,6.37,0,0,3.19,0,0,0,415.26,0,0,0,1.06,0,1.06,0
 96-106,0,74.31,1.09,27.32,0,0,0,0,8.74,1.09,1.09,5.46,0,0,12.02,1.09,0,0,452.44,0,0,0,0,1.09,0,0
108-118,0,50.55,2.3,20.68,0.77,1.53,0.77,0,6.89,0,0,1.53,0.77,0,4.6,0.77,0,0.77,285.7,0,0,0,0.77,0,0,0
120,0,48.99,1.96,23.52,0,0,0,0,5.88,0,1.96,3.92,0,0,1.96,1.96,0,0,186.18,0,0,0,1.96,0,0,0
