stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,17,0,0,0,0,5,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,55.82,0.82,0,0,0.82,19.7,0,0
 36-46,0,0,0,0,0,6.45,0,0,36.26,0.81,0,0,0.81,20.14,0,0
 48-58,0,0,0,0.57,4.02,12.05,0,0,26.97,0,0,0,0,16.07,0,0
 60-70,0,0,0,0,2.94,8.83,0,0,40.24,0,0,0,0.98,6.87,0,0.98
 72-82,0,0,0,0,5.89,18.65,0,0.98,29.45,0,0,0.98,0.98,3.93,0.98,0.98
 84-94,0,0,1.06,1.06,7.43,9.56,0,0,27.61,0,0,0,1.06,2.12,0,0
 96-106,0,0,0,0,3.28,9.84,0,1.09,18.58,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,1.53,4.6,0.77,0,10.72,0,0,0,2.3,0.77,0,0.77
120,0,0,0,0,5.88,1.96,0,0,3.92,1.96,0,0,1.96,0,0,3.92
