stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,0,0,1,0,0,0,0,4,1,0,0,1,4,3,3,0,0,0
 24-34,0,0.82,0.82,2.46,0,0,0,0,0,1.64,0,7.39,0,0,0,0,0,2.46,0.82,0,1.64,0
 36-46,0,0.81,0,4.83,0,0,0.81,0.81,0,1.61,0,6.45,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,5.16,0,0,0.57,0,0,1.15,0,12.05,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,13.74,0,0,0,0,0,0.98,0,10.8,0,1.96,0,0.98,0,0,0.98,0,0,0
 72-82,0,0.98,0,13.74,0,0,0.98,0,0,0,0,17.67,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,5.31,0,0,1.06,0,0,4.25,0,6.37,0,1.06,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,5.46,0,0,1.09,0,0,4.37,1.09,5.46,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0.77,0.77,0,0.77,0,0.77,0.77,6.89,0,0.77,0,2.3,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,1.96,0,1.96,0,0,5.88,0,0,0,3.92,0,0,0,0,0,0
