stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0.81,0,0,0,0,0,18.53,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0.57,0,2.3,0.57,0.57,0,0,0,0,1.15,0,0.57,0.57,12.05,0,0.57,0,0,0,1.72,0,0.57
 60-70,0,0,0,0,0,1.96,0,0,2.94,0,0.98,0,0,0,0,0,9.82,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,0.98,3.93,0,0,0,0.98,6.87,0,0,0.98,0,0.98,6.87,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,4.25,0,1.06,0,0,3.19,0,0,0,0,0,4.25,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,5.46,1.09,0,0,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0,3.83,0,0.77,0.77,0,0,6.89,0,0,0,1.53,0.77,1.53,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,3.92,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0
