stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,7.89,0,0,5.26,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,17,182,1,0,0,0,1,0,0,11,4,0,0,8,0,1,1,0,1,0,0,0,10,84,0,2,0,147,3,5,0,2,4,0,0,0,0
 24-34,0,0,0,21.34,167.45,0,0,4.93,0,13.13,0,0,11.49,2.46,0,0,20.52,0,10.67,0.82,0.82,2.46,11.49,0,3.28,38.58,16.42,6.57,4.1,0,435.87,0,9.85,0.82,0,7.39,0,0,0.82,0
 36-46,0,0,0,2.42,71.7,0,0,2.42,0,9.67,0,2.42,2.42,0.81,1.61,0.81,10.47,0,4.83,0,0.81,0,9.67,0,0,30.62,20.14,4.03,5.64,0,353.69,0,3.22,0,0,6.45,0,0,0,0
 48-58,0,0,0,1.15,37.3,0,0,5.16,1.15,12.62,0,4.59,2.3,5.16,0,0,5.16,0,4.59,0.57,0.57,3.44,14.92,0.57,1.72,18.94,12.05,3.44,7.46,0,254.2,0,1.15,0,0,5.74,0,0,0,0
 60-70,0,0,0,0.98,46.13,0,0,5.89,0,13.74,0,0.98,6.87,0.98,0,0,4.91,0,4.91,0,0,2.94,9.82,0,0,12.76,9.82,0,11.78,0,225.75,0,0.98,0,0,2.94,1.96,0,0,0
 72-82,0,0,6.87,0,84.42,0.98,0,5.89,0,24.54,0,2.94,28.47,0,0,0,15.71,0,6.87,0.98,0,12.76,24.54,0.98,0,11.78,4.91,4.91,24.54,0,235.6,0,1.96,0,0,2.94,6.87,0,0.98,0.98
 84-94,1.06,0,4.25,0,133.82,2.12,0,3.19,0,33.99,0,2.12,49.92,3.19,1.06,1.06,25.49,0,6.37,1.06,0,9.56,20.18,0,0,5.31,11.68,8.5,28.68,0,603.24,0,8.5,0,0,0,13.81,0,0,0
 96-106,0,0,5.46,1.09,166.11,1.09,0,3.28,0,45.9,1.09,3.28,55.74,1.09,1.09,0,27.32,1.09,14.21,8.74,0,10.93,29.51,0,0,29.51,7.65,15.3,36.06,0,524.57,0,2.19,0,0,4.37,29.51,0,1.09,1.09
108-118,0,0,5.36,0,169.28,0.77,0.77,4.6,0,47.49,0.77,1.53,62.81,0,0,2.3,22.98,0.77,12.26,6.13,0,3.83,19.92,0,0,16.09,9.19,12.26,26.04,0,396,0,3.06,0,0,2.3,16.09,0,0,0
120,0,0,3.92,0,146.98,0,0,1.96,0,43.12,1.96,0,33.32,0,0,3.92,7.84,0,11.76,0,0,3.92,13.72,0,0,21.56,11.76,9.8,11.76,0,329.24,0,3.92,0,0,0,7.84,1.96,0,0
