stage,endocrine_pancreas,endoderm,epidermis,eye,glial,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pronephros,somites,spinal_cord
 14-21,0,1,0,0,0,0,0,0,0,3,0,0,0,1,1
 24-34,0.82,0,0,0,0,0,0,0,0,8.21,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,0.81,0,0,14.5,0,0,0,0,5.64
 48-58,0,0,0,1.15,0.57,0,0,0,0,28.12,0,0,0,0,5.16
 60-70,0,0,0,3.93,0,0.98,0.98,0,0,33.37,0,0,0,0,6.87
 72-82,0,0,0.98,25.52,0,0,0,0,0,67.73,0,0.98,0,0,4.91
 84-94,0,0,1.06,6.37,1.06,0,2.12,0,0,21.24,0,0,0,0,1.06
 96-106,0,0,0,8.74,0,0,0,0,0,20.76,1.09,0,0,0,0
108-118,0,0,0.77,8.43,0,0,0,0,0.77,13.02,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,11.76,0,1.96,0,0,1.96
