stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,26,0,0,0,0,0,1,0,0,1,0,0,25,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,45
 24-34,0,0,0,3.28,1.64,0,139.55,0,0,0,0.82,0,0.82,0,0,27.91,0,0.82,118.2,7.39,0,0.82,4.1,97.68,2.46,0.82,0,0,0,8.21,0,0,2.46,21.34,0,0,0,0,204.39
 36-46,0,0,0,0,0,0,116.82,0,0.81,1.61,4.83,0,0,0,0,55.59,0.81,0.81,129.71,16.11,0,0.81,5.64,81.37,0.81,0.81,0.81,0,0,1.61,0.81,0,0,18.53,0,0,3.22,0.81,110.38
 48-58,0,0,0,1.72,1.15,0,156.65,0,0.57,1.72,8.03,0,1.15,2.3,0.57,78.61,0,0,68.86,27.54,1.72,1.15,5.74,123.37,1.15,0.57,0,0,0,5.74,0.57,1.15,0,22.95,0,0.57,2.3,0,87.22
 60-70,0,0,0,0.98,0.98,0,153.12,0,0.98,2.94,14.72,4.91,0.98,1.96,0,139.38,0,0.98,14.72,43.19,0,8.83,1.96,119.75,0,0.98,1.96,0,0,0.98,0,0.98,0,15.7,0,6.87,0.98,20.61,15.7
 72-82,0,0,0,4.91,5.89,0,92.28,0,0,0.98,12.76,11.78,0,1.96,0,143.32,0.98,0.98,14.72,26.5,0,10.8,0,88.35,0,1.96,0,0,2.94,6.87,0,0,0,15.71,0.98,14.72,4.91,48.1,23.56
 84-94,0,0,0,10.62,5.31,0,106.2,0,1.06,1.06,4.25,16.99,0,2.12,0,173.11,0,0,36.11,19.12,1.06,16.99,2.12,39.3,1.06,0,3.19,0,0,10.62,1.06,0,0,6.37,0,13.81,2.12,60.54,9.56
 96-106,0,0,1.09,2.19,3.28,1.09,89.61,0,3.28,1.09,19.67,19.67,1.09,3.28,0,154.09,1.09,3.28,24.04,31.69,2.19,7.65,3.28,44.81,1.09,1.09,2.19,0,1.09,16.39,1.09,0,0,0,0,16.39,1.09,77.59,22.95
108-118,0,0,0,4.6,3.83,0,81.96,0.77,2.3,0,7.66,22.21,0,1.53,0.77,209.87,0.77,2.3,36.77,22.98,0,4.6,1.53,29.11,0.77,0,0,0,0.77,9.96,0,0.77,0,2.3,1.53,9.96,1.53,40.6,59.75
120,0,0,0,3.92,1.96,0,37.24,0,1.96,0,0,11.76,0,0,0,139.14,1.96,0,9.8,9.8,0,5.88,0,17.64,0,1.96,1.96,0,1.96,1.96,0,0,0,3.92,0,7.84,3.92,35.28,23.52
