stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,1,2,1,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0.81,2.42,0,0,0,0
 48-58,0,0,1.72,0.57,0,0,1.72,0,0,0,0.57
 60-70,0,0.98,1.96,0,0,1.96,2.94,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,2.12,0,0,1.06,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0
