stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,64.85,2.46,0,0,0,0,7.39,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0,2.42,0,0,15.31,0,78.15,0.81,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,0,0,3.44,0,0,0,0.57,0,0,0,1.15,0,0,2.3,0.57,0.57,41.31,0,63.12,1.72,0,0,0.57,0,13.2,0,0,0,0,0
 60-70,0,0,0,0,0,0,31.41,0,0,0,0.98,1.96,0,0,3.93,0,0.98,17.67,4.91,0,105.02,0,68.71,2.94,0,0,0,0,11.78,0,2.94,0,0,0
 72-82,0,0,0,2.94,0,0,114.85,0,0.98,0,11.78,0,0,0.98,9.82,0,0,33.38,13.74,0,211.06,0,140.38,5.89,0,0.98,0.98,0,9.82,0,15.71,0.98,2.94,0
 84-94,0,0,0,3.19,0,0,60.54,0,2.12,0,6.37,0,1.06,0,11.68,0,0,11.68,13.81,1.06,122.13,0,154,12.74,0,0,1.06,0,7.43,0,6.37,0,2.12,0
 96-106,0,0,1.09,6.56,1.09,0,68.85,1.09,1.09,0,6.56,2.19,2.19,1.09,28.41,1.09,0,26.23,24.04,3.28,125.68,0,253.54,18.58,0,1.09,0,0,3.28,2.19,5.46,1.09,2.19,0
108-118,0,0,0,6.89,0,0.77,48.26,0,4.6,0,5.36,0.77,3.06,0.77,16.09,1.53,0,26.04,10.72,0.77,157.02,0,167.75,9.96,0,0,1.53,0,3.06,3.06,1.53,0,1.53,0.77
120,0,0,0,5.88,0,0,33.32,0,0,0,3.92,0,0,0,25.48,0,0,11.76,25.48,0,154.82,0,123.47,7.84,0,0,0,0,3.92,0,1.96,0,0,0
