stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,3.15,0,0,0,0,0
 14-21,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
 24-34,103.43,0,22.16,0,0,0,0,0,0.82,0.82,0,0,6.57,0.82,0,0,10.67,0.82,0,0,0,0
 36-46,64.45,2.42,16.92,0,0,0,0,0,0,0,0,0,2.42,0.81,0,0,16.92,1.61,0,0,0,0
 48-58,49.35,1.72,19.51,0,0,0,6.31,0,0,0,0.57,0,5.74,0.57,0,0,20.66,4.02,0,0,0,0
 60-70,74.6,3.93,24.54,0,0,0.98,0.98,0,0,0.98,0,0.98,4.91,0.98,0,0,51.04,0,0.98,0,0,0
 72-82,57.92,0.98,16.69,0,0.98,0,6.87,0.98,0,0.98,0,0,0.98,1.96,0,0,76.57,0,0,0,0,0
 84-94,149.75,1.06,43.54,0,0,2.12,11.68,4.25,3.19,3.19,0,0,5.31,1.06,0,0,292.06,0,3.19,0,1.06,1.06
 96-106,118.03,2.19,34.97,0,0,1.09,19.67,5.46,2.19,2.19,0,1.09,9.84,2.19,1.09,0,307.09,1.09,3.28,1.09,0,0
108-118,117.96,3.83,41.36,0,1.53,0.77,5.36,4.6,3.06,6.13,0,0,3.06,3.06,0,0,213.7,0,3.83,0,0,0
120,70.55,0,23.52,1.96,0,0,11.76,5.88,0,5.88,0,0,7.84,0,0,0,176.38,0,0,0,1.96,0
