stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,0,281,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,1,0,2,7,1,0,1,0,0,0,11,1,1,1,0,0,0,0
 24-34,0,0,5.75,0,100.97,2.46,0,13.95,0,0.82,0,0.82,0.82,0,0,0.82,1.64,0,0,9.85,0,0,0.82,9.85,4.1,0,0,0,0,0.82,7.39,2.46,0,2.46,0,0,0,0
 36-46,0,0,4.03,0,32.23,1.61,0,6.45,0,0,0,1.61,2.42,0,0,0,0,0,0,4.83,0.81,0.81,0.81,2.42,4.03,0,0,0,0,1.61,2.42,0.81,0,2.42,0,0,0.81,0
 48-58,0,0,1.15,0,37.3,4.02,0,12.05,0,0,0.57,1.15,1.72,0.57,0,0,0.57,0.57,2.3,6.89,2.3,0,0.57,5.16,10.9,0.57,0,0,0,0.57,0.57,2.3,0,2.3,0,0,0,0
 60-70,0,0,1.96,0,29.45,3.93,0,14.72,1.96,0.98,2.94,0.98,0,2.94,0.98,0,1.96,0,0,18.65,0.98,0,0,1.96,6.87,0.98,0,0,0,3.93,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,40.25,6.87,0.98,20.61,0.98,1.96,0.98,0,0,2.94,3.93,0,3.93,0,1.96,34.36,9.82,1.96,0.98,8.83,4.91,0,0,0,0.98,0,0.98,0,0,0,0,4.91,0,2.94
 84-94,0,0,4.25,0,87.09,1.06,1.06,37.17,0,1.06,6.37,0,0,10.62,0,0,1.06,1.06,1.06,12.74,5.31,1.06,2.12,7.43,10.62,1.06,0,0,0,6.37,3.19,1.06,0,1.06,2.12,3.19,0,5.31
 96-106,0,0,2.19,0,86.33,2.19,3.28,21.86,0,1.09,5.46,0,0,7.65,3.28,0,3.28,1.09,1.09,12.02,9.84,1.09,3.28,16.39,3.28,3.28,1.09,0,0,10.93,4.37,6.56,0,0,1.09,6.56,1.09,3.28
108-118,0,0,1.53,0,98.81,3.83,3.83,44.43,0,0.77,8.43,0,0.77,8.43,0.77,1.53,2.3,3.06,4.6,7.66,7.66,3.06,3.83,7.66,2.3,2.3,0,0.77,1.53,4.6,0.77,6.13,0,0,2.3,6.13,2.3,5.36
120,0,0,1.96,0,117.59,3.92,5.88,45.08,0,0,5.88,0,1.96,7.84,3.92,0,7.84,0,1.96,3.92,5.88,0,0,3.92,9.8,1.96,1.96,0,1.96,5.88,0,5.88,0,0,3.92,1.96,0,1.96
