stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,1.64,0,0.82,0,0,0,1.64,0,0,0,0,3.28,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,0,2.42,0,0,0,0,0,0,3.22,2.42,0,0,0,0,0.81,0,0,0,0,5.64,0,0,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,0.57,0,0,0,0,1.72,0,0,0,0,0,0,0.57,0,2.3,0,0,0,0.57,1.15,0,0,0,10.33,0,0,0.57,0,0,0,0
 60-70,0,0.98,0,4.91,0,0,2.94,0,0,0,0,17.67,0.98,0,0,0,0,0,7.85,0.98,0,0,0,0,1.96,0.98,0,0,0,20.61,0,0,0.98,0,0,0,0
 72-82,0,16.69,0,7.85,0,0,1.96,0,0,0.98,0,95.22,0,0,0,0,1.96,0,30.43,0,5.89,0,0,0.98,16.69,0,0,0,0,17.67,0,0.98,0,1.96,0.98,0.98,0
 84-94,0,12.74,0,35.05,0,0,0,0,4.25,0,1.06,254.89,0,0,0,4.25,0,0,183.73,0,3.19,0,0,0,12.74,0,0,0,0,89.21,0,0,0,11.68,0,0,2.12
 96-106,0,15.3,1.09,116.93,9.84,1.09,30.6,0,2.19,0,7.65,508.17,0,1.09,6.56,4.37,3.28,2.19,502.71,0,29.51,2.19,2.19,3.28,147.53,3.28,3.28,0,0,136.61,0,0,3.28,13.11,3.28,1.09,0
108-118,0,13.79,2.3,118.72,3.06,3.06,24.51,1.53,5.36,5.36,6.89,707.75,0,0,3.06,11.49,3.06,0.77,1006.48,0.77,24.51,2.3,0,2.3,164.68,0.77,2.3,0,1.53,130.98,0.77,1.53,0.77,18.38,3.06,1.53,0
120,1.96,7.84,1.96,105.83,3.92,0,17.64,0,13.72,0,5.88,513.46,0,0,5.88,1.96,0,3.92,558.54,1.96,13.72,0,3.92,1.96,129.35,1.96,0,0,1.96,72.51,0,0,0,13.72,3.92,1.96,3.92
