stage,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,28.92,0,7.89,0,0
 10-12,0,3.15,0,6.29,0,3.15,0,0,0,0,15.73,0,3.15,0,0
 14-21,0,0,0,0,7,0,0,0,0,1,56,0,0,1,42
 24-34,0,0,0.82,2.46,6.57,0,0,0,0,0,105.89,0,0,0,48.43
 36-46,0,0,0.81,10.47,12.09,0,0,0,0,0,91.04,0,0,0,30.62
 48-58,0,0,0,13.2,10.9,0,0,0,0,0,59.1,0,0,0,13.77
 60-70,0,0,0,26.5,19.63,0,0,0,0,0,53,0,0,0,8.83
 72-82,0,0,0,30.43,10.8,0,0.98,0,2.94,0,22.58,0,0,0,0.98
 84-94,0,0,0,23.36,10.62,0,1.06,0,0,0,19.12,0,0,0,2.12
 96-106,0,0,0,26.23,7.65,0,0,0,0,0,13.11,1.09,0,0,1.09
108-118,0,0,0,27.57,3.06,0,0,0,0,0.77,12.26,0,0,0,0
120,0,0,1.96,25.48,5.88,0,0,1.96,1.96,0,9.8,0,0,0,1.96
