stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,18.4,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,99.89,7.89,0,0,70.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,22.03,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.73,12.59,0,0,141.61,0,0,0,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,62,14,0,6,0,0,0,7,2,0,0,3,1,0,1,0,19,0,0,11,94,3,0,1,2,0,5,43,15,2,23,47,0,0,6,0,0
 24-34,0,0,1.64,0.82,26.27,2.46,0,11.49,0,0,0.82,13.95,4.93,0,0.82,5.75,0.82,0,0.82,0.82,18.88,0,0,14.78,67.31,0,2.46,2.46,0,0,0,0,13.95,0,9.85,54.18,0,0,23.8,0,0
 36-46,0,0,0,0,4.03,0.81,0,11.28,0,0,0.81,6.45,0,0,0,14.5,0,0,0,0,8.86,0,0,4.03,44.31,0,0,0.81,0,0,0,0,4.83,0,0,21.75,0,0,8.86,0,0
 48-58,0,0,0,0,1.15,0.57,0,13.2,0,0.57,0,4.02,2.3,0,1.15,22.38,0,0,0.57,1.15,18.94,0,0,6.31,24.67,0,1.15,1.15,0,0,0,0,3.44,0,0,6.31,0,0.57,3.44,0,0
 60-70,0,0,0,0,4.91,0.98,0,12.76,0,0,0,6.87,0.98,0,0,48.09,0.98,0,0,0,23.56,0,1.96,2.94,10.8,0,2.94,1.96,0,0,0.98,0,2.94,0,0,3.93,0,0,2.94,0,0
 72-82,0,0,0,0,5.89,1.96,0,10.8,0,0.98,1.96,7.85,0.98,0.98,0.98,52.03,1.96,0.98,0.98,1.96,34.36,0,0,5.89,16.69,0,1.96,0.98,0,0,0,0,0,0,0,2.94,0,0,9.82,0,0
 84-94,0,0,1.06,0,7.43,1.06,0,8.5,0,1.06,3.19,3.19,2.12,0,0,75.4,3.19,0,0,2.12,19.12,1.06,1.06,5.31,11.68,0,1.06,0,0,0,0,0,4.25,0,0,7.43,0,0,5.31,1.06,0
 96-106,0,0,0,0,9.84,1.09,0,6.56,0,0,0,3.28,12.02,0,0,90.71,3.28,0,1.09,1.09,22.95,0,2.19,5.46,7.65,0,4.37,3.28,0,1.09,1.09,0,7.65,0,0,0,0,0,6.56,1.09,0
108-118,0,0,0.77,0,7.66,2.3,1.53,6.89,0.77,1.53,2.3,3.83,8.43,0,0,78.89,1.53,0.77,0.77,3.06,13.79,0,0,3.83,10.72,0.77,2.3,0.77,0,0,0.77,0,2.3,0,0,1.53,0,0.77,4.6,0,0.77
120,0,0,0,0,3.92,3.92,0,5.88,0,3.92,0,1.96,15.68,0,1.96,76.43,1.96,0,0,5.88,11.76,0,1.96,3.92,9.8,0,0,0,0,0,1.96,0,1.96,0,0,1.96,1.96,0,3.92,0,0
