stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,435.2,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,6.13,12.26,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,15.77,0,0,18.4,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,141.95,5.26,0,0,81.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,9.44,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,129.03,6.29,0,0,50.35,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,9,3,4,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,60,1,0,0,1,1,0,1,1,6,0,0,0,0
 24-34,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0.82,10.67,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0.81,0,20.14,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,8.86,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,138.86,0,0,0.57,1.15,0,0.57,0.57,0,0,0,0,0,1.72,0,0,0,9.75,0,0,0,0,0.57,0,0,0,1.72,0,0.57,0,0
 60-70,0,0,0,0,0,425.98,0,0.98,0,5.89,0.98,0,0,0,0,0,0,0,0.98,0,0,0,20.61,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0.98,0,553.66,0,0,3.93,3.93,0,0.98,0,0,0,0,0,0,4.91,0,0.98,0,42.21,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,448.18,1.06,0,0,7.43,0,0,0,0,0,0,0,0,2.12,0,1.06,0,22.3,0,0,0,0,3.19,0,0,0,3.19,0,0,1.06,0
 96-106,0,0,0,3.28,0,304.9,0,0,0,3.28,0,0,0,0,2.19,0,0,0,5.46,0,0,2.19,17.49,0,0,0,0,4.37,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,2.3,0,216,0,0,0,1.53,0.77,0,0,0,0,0.77,0.77,0,3.06,0.77,0,0,21.45,0,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,178.34,0,1.96,0,5.88,0,0,0,0,0,0,0,0,3.92,0,0,3.92,15.68,0,0,0,0,3.92,0,0,0,0,0,1.96,1.96,0
