stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,36.78,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,2.63,7.89,0,0,7.89,0,0,5.26,0,0,0,0,0,0,84.12,5.26,0,28.92,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,66.09,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,1,2,1,5,0,2,0,0,0,2,0,0,2,32,0,0,0,1,5,1,3,11,0,0
 24-34,0,0,0.82,0,0,4.1,0,0,0,0,0,3.28,0,0,2.46,45.97,0,0,0,0.82,0,0,0.82,10.67,0,0.82
 36-46,0,0,0,0.81,0,6.45,0,2.42,0,0,0,4.03,0,0,0,18.53,0,0.81,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,0,0,9.18,0,1.15,0,0,0.57,5.74,0,0,0.57,13.77,0,0,0,0,0,0,0,4.02,0,0
 60-70,0,0,0,0.98,0,4.91,0,0.98,0,0,0,1.96,0,0,0.98,18.65,0,0,0,0,0,0,0,2.94,0,0.98
 72-82,0,0,0,0.98,0,2.94,1.96,0.98,0,0,0,8.83,0.98,0,0,6.87,0,0,0,0.98,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,1.06,1.06,2.12,0,0,0,6.37,0,1.06,1.06,4.25,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,3.28,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,3.06,0.77,0,0,3.83,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,3.92,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
