stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,7,99,19,0,34,0,1,0,15,2,1,0,3,0,0,1,0,55,0,0,42,338,51,0,7,10,0,11,2,69,14,26,106,171,0,0,6,0,1
 24-34,0,2.46,4.1,55,0,0,65.67,0,3.28,2.46,15.6,2.46,5.75,2.46,2.46,0.82,3.28,2.46,6.57,90.29,0.82,1.64,39.4,511.39,25.45,4.1,13.13,0,0,13.95,0,0,39.4,15.6,25.45,170.74,0,0,42.68,0,4.93
 36-46,0,0,0.81,24.17,0.81,0,90.23,3.22,4.03,4.83,48.34,0.81,8.06,0.81,1.61,0.81,1.61,2.42,2.42,122.46,0,3.22,33.84,520.46,20.14,3.22,10.47,0,1.61,7.25,0.81,0.81,29,4.03,0.81,161.13,0,0.81,17.72,0,4.83
 48-58,0,0,0,9.75,0,0,162.39,5.16,5.74,7.46,103.28,2.3,4.59,1.72,0.57,2.3,4.02,1.15,9.18,168.7,1.72,2.3,22.38,401.66,13.2,1.72,13.2,0,0,5.74,0,0,24.67,4.59,0.57,129.11,0,1.15,16.64,0,9.18
 60-70,0,0.98,0,12.76,1.96,0,286.6,2.94,4.91,16.69,156.06,6.87,3.93,1.96,0.98,3.93,5.89,0,3.93,224.77,0.98,7.85,25.52,531.98,13.74,0.98,24.54,0,5.89,14.72,0,0,24.54,5.89,0,91.28,0.98,6.87,16.69,1.96,7.85
 72-82,0,2.94,0,38.28,3.93,1.96,257.2,0.98,11.78,8.83,198.3,34.36,4.91,5.89,0.98,6.87,16.69,7.85,2.94,309.22,3.93,12.76,25.52,453.53,6.87,0.98,49.08,0,1.96,15.71,0,0,55.95,1.96,0,39.27,0.98,8.83,31.41,10.8,7.85
 84-94,0,1.06,0,60.54,6.37,1.06,217.72,3.19,10.62,6.37,117.89,38.23,4.25,10.62,14.87,12.74,21.24,15.93,4.25,189.04,0,10.62,24.43,218.78,9.56,1.06,69.03,0,2.12,28.68,0,0,135.94,1.06,0,33.99,2.12,7.43,29.74,12.74,7.43
 96-106,0,2.19,1.09,54.64,7.65,3.28,168.3,3.28,19.67,7.65,142.07,55.74,5.46,15.3,7.65,5.46,33.88,20.76,6.56,145.35,2.19,14.21,13.11,215.29,8.74,6.56,86.33,0,1.09,50.27,1.09,0,122.4,0,0,13.11,4.37,14.21,32.79,13.11,6.56
108-118,0,3.06,0,51.32,2.3,11.49,147.06,5.36,22.98,6.89,83.49,45.96,2.3,12.26,5.36,7.66,18.38,28.34,8.43,143.24,0.77,7.66,20.68,216,10.72,0.77,65.87,0,1.53,26.81,0,0,122.55,3.83,0,9.96,4.6,7.66,29.11,6.13,3.83
120,1.96,1.96,0,72.51,5.88,1.96,101.91,7.84,15.68,5.88,74.47,39.2,1.96,13.72,7.84,7.84,11.76,29.4,3.92,101.91,0,7.84,17.64,278.29,13.72,0,70.55,0,1.96,19.6,0,0,80.35,0,0,11.76,0,9.8,23.52,11.76,1.96
