stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,18.06,0,0.82,4.1,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,1.61,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0.81,17.72,0.81,0,2.42,0,2.42,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0,18.94,1.15,0,0.57,1.72,0,0,0,0,0,1.15,0,0.57,0,0.57,42.46,0,1.15,4.59,0,0,0,0,0,8.61,0,0,0,0,0
 60-70,0,0,0,0,0,0,58.89,0,0,0,0.98,0,0,0,0,0,3.93,0,0.98,0,1.96,58.89,0,1.96,8.83,0,0.98,0,0,0.98,15.7,0,0.98,0,0,0
 72-82,0,0,0,4.91,0,0,69.7,0.98,0,0,3.93,0,0,0,0,0,5.89,0,1.96,0.98,0.98,59.88,0,0.98,19.63,0,0,0,0,0,6.87,0.98,0,0.98,0.98,0
 84-94,0,0,0,4.25,0,0,39.3,1.06,0,0,4.25,1.06,0,1.06,1.06,1.06,8.5,0,0,0,0,42.48,0,1.06,21.24,0,2.12,0,1.06,1.06,5.31,1.06,0,0,0,1.06
 96-106,0,1.09,0,2.19,1.09,0,39.34,1.09,1.09,0,4.37,2.19,0,0,0,0,12.02,0,3.28,0,1.09,28.41,0,0,52.46,0,3.28,0,0,2.19,4.37,2.19,0,0,0,0
108-118,0,0,0,0,0,0.77,34.47,0,0,0,3.83,0.77,0,0.77,0.77,0,9.96,0.77,2.3,0,1.53,25.28,0,0,35.23,0,0.77,0,0.77,0.77,0,4.6,0,0,0,1.53
120,0,0,0,5.88,1.96,0,25.48,1.96,1.96,0,5.88,0,0,0,0,0,15.68,0,3.92,0,1.96,33.32,0,3.92,35.28,0,1.96,1.96,0,1.96,3.92,0,0,0,0,0
