stage,axial,blastomeres,endoderm,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,5.26,0,7.89,0,0,5.26,0,0,0,0,139.32,2.63,0,31.54,0,0,0,2.63,0,0,0
 10-12,0,3.15,0,0,15.73,0,0,6.29,0,0,0,0,100.7,0,0,31.47,0,3.15,0,3.15,3.15,0,0
 14-21,0,0,0,1,4,0,1,0,0,0,1,0,18,0,0,0,0,0,7,0,2,4,1
 24-34,0,0,0,0,3.28,0,0,0,0,0.82,4.1,0.82,21.34,0,0,0,0,0,0,0,0.82,3.28,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,3.22,0.81,9.67,0,0,0,0.81,0,0,0,0,6.45,0
 48-58,0,0,0,0,2.3,0.57,0.57,0,0,0,1.72,0,8.03,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,5.89,0,5.89,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0.98,0,4.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,3.19,1.06,1.06,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.06,0,0,0,0.77,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
