stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,62.94,0,0,0,12.59,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,6,64,0,0,1,0,1,0,2,0,0,0,7,0,0,0,0,0,5,0,0,1,0,7,0,1,0,0,0,0,0,0
 24-34,0,0,0,9.03,46.79,0,0,0,0,3.28,0,2.46,0,0,0,40.22,3.28,0,0,4.1,0.82,17.24,0,13.95,7.39,0,46.79,0,5.75,0,1.64,0,0,0,0
 36-46,0,0,0,0.81,7.25,0,0,0.81,0,1.61,0.81,2.42,0,0,0,16.11,2.42,0,1.61,2.42,0,29.81,0,22.56,1.61,0,37.87,0.81,3.22,0,0,0,0,0,0
 48-58,0,0,0,0.57,9.18,0,0,3.44,0,4.59,0,0.57,6.31,0,0,5.16,4.02,0,0.57,3.44,0,8.61,0,12.05,2.87,0,28.69,0,0.57,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,14.72,0,0,0.98,0,3.93,0,8.83,2.94,0,0,8.83,2.94,0,0.98,9.82,0,2.94,0,18.65,2.94,0,45.15,0,1.96,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,20.61,0,0,2.94,0,5.89,0,20.61,1.96,0,0,10.8,4.91,0.98,1.96,3.93,0,12.76,0,27.49,4.91,0,41.23,0,0.98,0,1.96,2.94,0.98,0.98,0
 84-94,0,0,7.43,0,40.36,1.06,1.06,2.12,0,10.62,0,40.36,5.31,0,1.06,27.61,5.31,2.12,3.19,2.12,0,6.37,0,20.18,5.31,0,140.19,0,3.19,0,0,12.74,0,0,0
 96-106,0,0,8.74,0,77.59,0,0,5.46,1.09,12.02,4.37,54.64,0,0,1.09,20.76,7.65,4.37,2.19,10.93,0,14.21,0,37.16,6.56,0,114.75,0,1.09,1.09,0,16.39,0,1.09,0
108-118,0,0,4.6,0,55.15,0.77,0.77,3.83,0,7.66,0,57.45,0,0,0.77,29.11,4.6,5.36,6.89,7.66,0,13.79,0.77,21.45,8.43,0,80.43,0,3.06,0,0,13.02,0,0,0
120,0,0,7.84,1.96,84.27,0,0,1.96,0,13.72,0,62.71,0,1.96,3.92,19.6,1.96,5.88,1.96,3.92,0,15.68,0,9.8,5.88,0,139.14,0,3.92,0,0,13.72,0,0,1.96
