stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,28.32,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,12.59,0,0,53.5,0,0,3.15,6.29,0,0,0,0,0,0
 14-21,0,0,11,93,8,0,0,0,0,19,1,0,2,0,1,0,0,36,0,27,8,28,0,0,2,0,0,50,0,23,3,0,0,0,1
 24-34,0,0,5.75,13.13,0.82,0.82,0.82,0,0,0,13.13,0.82,0,0.82,3.28,0,0,61.56,0,68.13,11.49,0,0.82,0,0,0.82,0,0,0,4.93,4.1,0,2.46,0,0
 36-46,0,0,0,1.61,0,2.42,0,0,0,0,15.31,2.42,0,0,4.03,0,0,69.29,3.22,19.34,5.64,0,0,0,0,0,0,0,0,0,0.81,0.81,4.83,0,0
 48-58,0,0,0,1.72,0.57,1.72,0,0,1.15,0,11.48,1.15,0,0,1.72,0,0,37.87,4.59,7.46,5.16,0.57,0,0,0,0,0,0,0,0,1.15,0.57,5.74,0,0
 60-70,0,0,0,4.91,1.96,0.98,0,0.98,0,0.98,8.83,0,0,0,2.94,0,0,92.26,2.94,8.83,11.78,0,0,0.98,0,0,0.98,0,0,0,1.96,1.96,0.98,0.98,0
 72-82,0,0,0,12.76,9.82,7.85,0,0,0.98,0,14.72,0.98,0,0,10.8,0,0,153.14,3.93,10.8,13.74,0,0,0,0,0,0,0,0,0,0.98,5.89,6.87,0,0
 84-94,0,0,0,21.24,5.31,5.31,0,0,1.06,1.06,4.25,6.37,0,0,9.56,0,1.06,94.52,4.25,15.93,11.68,0,0,1.06,0,3.19,0,0,0,0,2.12,7.43,10.62,1.06,0
 96-106,0,0,0,36.06,5.46,6.56,1.09,0,2.19,1.09,17.49,4.37,0,0,7.65,1.09,2.19,110.38,5.46,12.02,21.86,0,0,0,0,1.09,0,0,0,0,1.09,8.74,5.46,1.09,1.09
108-118,0,0,0,40.6,3.83,3.83,0.77,0,4.6,3.83,8.43,3.83,0,0,4.6,0,0,121.79,7.66,13.79,23.74,0,0,0,0,1.53,0.77,0,0,0,2.3,6.13,5.36,0,0.77
120,0,0,0,15.68,0,3.92,1.96,0,3.92,1.96,5.88,1.96,1.96,0,7.84,0,1.96,97.99,5.88,9.8,17.64,0,0,0,0,3.92,0,0,0,0,0,5.88,1.96,0,0
