stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,glial,gut,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0.82,9.85,0,0.82,0,0,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,17.72,0,0,0.81,0,0,0,3.22,0,0
 48-58,0,0,0,0,6.31,0.57,1.15,0,0,0.57,0.57,0,0,0,21.8,0,0,0,0,0,0.57,2.3,0,0
 60-70,0,0,0.98,0,6.87,0,0.98,0,0,0,0.98,0,0,0.98,16.69,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,5.89,0,0,0,0.98,0,7.85,0,0,0,10.8,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,4.25,0,2.12,1.06,0,0,1.06,1.06,0,0,15.93,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,3.28,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,3.83,0,1.53,1.53,0,0,0.77,0,0,0.77,3.83,0,0,1.53,0,0.77,0,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0,0,1.96,0,0,0,0
