stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,20.14,0,0,0,0,0,0,0,0,4.03,0
 48-58,0,0,0,0,0,0,5.74,1.15,0,0,0.57,0.57,0,0,0,0.57,0.57,21.23,0,0,0,0,0,0,0,0,5.74,0
 60-70,0,0,0,0,0,0,29.45,1.96,0,0,0,0,0,0,1.96,0,0,26.5,0,0,0,2.94,0.98,0,0,0,4.91,0
 72-82,0,0,0,0,0,0,54.97,0,0,0,9.82,0,0,0,1.96,0,0,40.25,0,0.98,0,0.98,0,0,0,0,2.94,0.98
 84-94,0,0,0,0,0,0,39.3,2.12,0,0,3.19,0,0,0,1.06,0,1.06,25.49,0,0,0,2.12,0,0,0,0,2.12,0
 96-106,0,0,0,0,2.19,1.09,59.01,3.28,1.09,0,7.65,0,0,0,4.37,0,1.09,34.97,0,2.19,0,0,0,0,0,0,3.28,0
108-118,0,0,0,0,0,0,32.17,4.6,0,0,8.43,0,1.53,0,3.06,0,1.53,29.11,0,1.53,0,2.3,0,0,0.77,0,0.77,0
120,0,0,0,3.92,0,0,35.28,7.84,0,1.96,17.64,0,0,0,1.96,0,1.96,29.4,1.96,3.92,0,0,0,0,0,0,7.84,1.96
