stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0.82,0,0,0.82,0.82,0,0.82,0,0,0.82,0,0.82,137.9,0,2.46,0.82,0,0,34.48,0,0,0.82,0
 36-46,0,0,0.81,0,0,4.03,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,1.61,226.39,0,2.42,0,0,0,69.29,0,0,0,0
 48-58,0,0,0,0.57,0,12.62,0,0,0,2.87,0,0,0,0,0,0,0.57,3.44,0,0.57,289.77,0.57,1.72,0,1.15,0,76.89,0,0.57,0.57,0.57
 60-70,0,0,0,0,0,23.56,0.98,0.98,0.98,1.96,0,0.98,0,0.98,0,0,0,1.96,0,0,480.95,0,0,0,0,0,56.93,0,0,0.98,0
 72-82,0,0,0,0,0,19.63,0,0.98,0.98,8.83,0.98,0,0,0,0,0,0.98,16.69,0,0,533.04,0,1.96,0.98,0,0,41.23,0,0,0.98,0
 84-94,0,0,0,3.19,0,41.42,0,2.12,0,12.74,0,0,1.06,1.06,0,0,0,5.31,2.12,0,265.51,1.06,0,1.06,1.06,0,15.93,0,0,1.06,0
 96-106,0,0,0,4.37,2.19,30.6,0,0,0,13.11,0,0,0,0,0,1.09,0,2.19,1.09,0,256.82,0,2.19,3.28,0,0,9.84,0,0,0,0
108-118,0,0,0,3.83,0,16.09,0,0,0,6.89,0,0,0,0.77,0,0,0,5.36,0,0,255.07,0,3.83,1.53,0.77,0,6.13,0.77,0,0.77,0
120,0,0,0,3.92,0,21.56,1.96,0,0,5.88,0,0,0,0,0,0,0,3.92,0,0,290.05,0,5.88,3.92,0,1.96,7.84,0,0,0,0
