stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,6,0,0,2,1,1,0,1,2,3,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,1.64,0.82,18.06,0,0,0,0,0,0,0.82,0.82,2.46,0,0.82,0
 36-46,0,0,0.81,0,0,4.03,0.81,0,0,0,0,0,0,0.81,4.83,0,15.31,1.61,0,0,0.81,0,0.81,0.81,0,4.03,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,1.15,0.57,0,0,0.57,0,12.62,0.57,16.07,0,0,0,0.57,0,0,0,0,1.72,0,0,1.15
 60-70,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,9.82,0.98,16.69,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,37.3,0,0.98,2.94,0.98,0,0,0,0,10.8,1.96,19.63,0,0,0,0,0,0,0,0,2.94,0,0,0.98
 84-94,0,0,1.06,0,1.06,35.05,0,0,2.12,1.06,0,0,1.06,0,15.93,1.06,13.81,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,0,0,0,69.94,0,0,0,0,0,1.09,0,0,9.84,1.09,10.93,0,1.09,0,2.19,0,0,0,0,1.09,0,0,0
108-118,0,0,1.53,0.77,0,73.53,0,1.53,0.77,0.77,0,0,0,0,16.85,1.53,9.19,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,52.91,1.96,0,0,0,0,0,0,0,3.92,1.96,33.32,0,0,0,0,0,0,0,0,0,0,0,0
