stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
 24-34,0,2.46,0,0,0,0.82,0,0,0,0,0,0.82,0.82,0,0,0,0.82,1.64,0,4.1,0,5.75,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,6.45,0,8.86,0,10.47,0,0,0
 48-58,0,0,1.15,0,0,0,0,0,0,1.15,0,0.57,0.57,0,0.57,0.57,0,5.74,0.57,7.46,0,6.31,0,0.57,0
 60-70,0,0,0,0,0,1.96,0,1.96,1.96,0,0.98,0.98,0.98,0,0,0,0,2.94,0,8.83,0,5.89,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0.98,0.98,0,0,0,1.96,0.98,0,0,0,4.91,0,12.76,1.96,7.85,0,0,0
 84-94,0,0,2.12,0,0,3.19,0,2.12,4.25,0,0,1.06,0,0,0,0,0,3.19,0,5.31,1.06,16.99,0,1.06,1.06
 96-106,1.09,0,5.46,2.19,0,4.37,1.09,1.09,1.09,0,0,0,0,2.19,0,0,0,2.19,0,24.04,2.19,16.39,0,0,0
108-118,0,0,5.36,0,0.77,0.77,0.77,0,1.53,0,1.53,1.53,0.77,0,0,0,0,5.36,0,13.02,1.53,10.72,0.77,0,0
120,1.96,0,7.84,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,3.92,0,13.72,3.92,29.4,0,0,0
