stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,331,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,281.27,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,6.29,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,27,2,0,0,0,1,1,1,1,1,19,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,40.22,0,0,0,0.82,0,0,0,0,0,0,0,0.82,1.64,0,0,0.82,288.12,0,0.82,4.1,0,0.82,0,0,0,1.64,79.62,0,0,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,113.6,0,0,0,2.42,0,0,0,0,0,0,0,0,2.42,0,0.81,0,908.79,0,1.61,0,0,0,0,0,0,0,146.63,0,0,0,0,0
 48-58,0,0,0,0,2.87,0.57,288.62,1.15,0.57,0.57,10.9,0,0,0.57,0,0,0,0.57,0,9.75,0,0,0,732.75,0.57,0.57,1.15,0,1.72,0,0,0,0,117.06,0,0,0,0,0
 60-70,0,0,0,0,3.93,0,1144.45,0.98,0.98,0.98,15.7,0,0,0,0,0,0,0,0,8.83,0,0,3.93,794.05,0,0,2.94,0,0.98,0,0,0,0,102.08,0,0.98,0,0,0.98
 72-82,0,0,0.98,0,8.83,3.93,1611.89,0.98,0,0.98,41.23,0.98,0,0.98,0.98,0,0.98,0.98,0.98,26.5,0,0,4.91,901.17,0,2.94,3.93,0,0.98,0,0,0,0,76.57,0,0,1.96,0.98,0.98
 84-94,0,0,2.12,0,15.93,1.06,1160.81,0,1.06,2.12,35.05,2.12,0,0,0,0,1.06,0,1.06,18.05,0,1.06,2.12,478.98,2.12,0,1.06,0,3.19,0,0,0,0,29.74,1.06,2.12,2.12,0,1.06
 96-106,0,0,0,0,14.21,1.09,828.38,0,1.09,0,33.88,3.28,0,2.19,1.09,1.09,0,2.19,0,14.21,1.09,1.09,2.19,416.37,1.09,1.09,5.46,0,0,0,0,1.09,0,10.93,4.37,1.09,4.37,3.28,1.09
108-118,0,0,0,0,8.43,2.3,581.37,1.53,0,0,24.51,0.77,0,0.77,0.77,2.3,0,0,1.53,12.26,0,0.77,1.53,547.66,0,1.53,3.83,0,0.77,0,0,0.77,0,14.55,0,1.53,0.77,0.77,0.77
120,0,0,0,0,9.8,3.92,401.76,0,1.96,0,17.64,1.96,0,0,1.96,0,1.96,1.96,0,17.64,0,0,0,470.35,1.96,1.96,0,0,3.92,0,0,1.96,0,15.68,0,0,0,0,0
