stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,4,0,0,0,3,0
 24-34,0,0,0,0.82,0,0.82,0,1.64,0,0,4.93,0.82,0,1.64,0.82,0
 36-46,0,0,0,1.61,0,0,0,1.61,0.81,0,3.22,0,0,0.81,0,0
 48-58,0,0.57,0,0.57,0.57,0,0,2.3,0,0.57,2.87,0,0,1.15,0.57,0
 60-70,0,0,0,4.91,0,0.98,0.98,0,0,0,5.89,0,0,0.98,0.98,0
 72-82,0,0,0.98,3.93,0,0.98,0,3.93,0,0,11.78,0,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,0,0,2.12,0,0,2.12,0,0,2.12,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,1.53,0,1.53,0,0.77,0.77,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,1.96,0
