stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,22,234,50,0,119,0,0,0,38,13,4,6,0,8,2,0,1,2,117,2,0,98,1378,31,6,14,47,0,33,4,120,12,8,194,472,0,0,5,0,1
 24-34,2.46,4.93,72.24,6.57,0,286.48,0,6.57,2.46,35.3,5.75,0,4.93,2.46,2.46,1.64,9.03,1.64,0.82,196.18,4.1,0.82,91.12,2457.64,5.75,14.78,19.7,0,0.82,64.03,0,0,22.98,3.28,35.3,555.72,0,0,43.51,0,4.1
 36-46,0.81,0.81,49.15,1.61,0,618.75,2.42,4.03,5.64,79.76,4.83,0,2.42,2.42,4.83,3.22,0.81,1.61,1.61,228,3.22,3.22,67.68,2793.26,10.47,17.72,8.86,0,0,53.98,0.81,0,12.89,2.42,0.81,589.75,0,0.81,30.62,0,4.03
 48-58,1.15,0.57,33.85,5.16,0,910.63,4.59,9.18,6.31,144.6,2.87,1.15,2.87,6.31,2.87,2.3,4.59,0.57,4.59,281.74,1.15,10.33,50.49,2054.22,4.02,12.05,17.79,0,0,35,0,0,8.61,0.57,0.57,420.6,0,0.57,28.69,0,5.74
 60-70,0.98,0,30.43,2.94,0,945.21,4.91,17.67,9.82,146.25,2.94,0,2.94,8.83,2.94,4.91,5.89,0.98,1.96,314.09,0.98,13.74,36.32,1743.18,1.96,8.83,16.69,0,0.98,27.48,0,0,5.89,2.94,0,190.42,0.98,2.94,28.46,3.93,6.87
 72-82,8.83,0,53.99,17.67,0,699.92,1.96,8.83,10.8,187.5,13.74,0.98,8.83,9.82,9.82,4.91,4.91,0,0.98,349.47,4.91,8.83,41.23,1236.89,1.96,20.61,10.8,0.98,3.93,46.14,0,0,5.89,1.96,0,80.5,8.83,11.78,53.01,4.91,3.93
 84-94,1.06,0,86.03,11.68,1.06,449.24,1.06,9.56,8.5,100.89,15.93,1.06,4.25,23.36,11.68,7.43,5.31,1.06,3.19,194.35,4.25,12.74,21.24,598.99,8.5,9.56,19.12,0,4.25,101.96,0,0,10.62,0,0,36.11,12.74,9.56,37.17,6.37,4.25
 96-106,3.28,0,60.11,27.32,4.37,333.32,2.19,9.84,8.74,83.06,21.86,0,7.65,27.32,13.11,12.02,4.37,4.37,2.19,165.02,2.19,12.02,26.23,498.34,5.46,10.93,20.76,0,7.65,109.28,0,0,5.46,0,0,26.23,21.86,4.37,33.88,5.46,6.56
108-118,1.53,0,68.94,21.45,8.43,260.43,0.77,14.55,6.89,80.43,16.09,0,4.6,19.92,9.19,10.72,6.89,6.13,5.36,165.45,2.3,7.66,19.92,577.54,6.89,14.55,17.62,0,3.06,76.6,0,0,7.66,3.06,0,16.09,22.98,4.6,19.15,6.13,6.13
120,0,0,82.31,31.36,0,305.73,0,13.72,17.64,70.55,25.48,0,1.96,41.16,5.88,5.88,0,5.88,0,129.35,3.92,5.88,43.12,515.42,7.84,7.84,23.52,1.96,1.96,66.63,0,0,13.72,0,0,17.64,11.76,0,29.4,9.8,5.88
