stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,86,0,1,0,0,0,0,0,43,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,6.57,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,1.64,0,0,278.27,0.82,0,0.82,0,0,0,0.82,95.22,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,12.09,0,0.81,0,9.67,0,0,0,0,0,0,0,0,2.42,0,0,0.81,762.97,0,0,0,0,0,0,0,160.33,0,0,1.61,0,0
 48-58,0,0,0,0,4.02,0.57,0,78.61,0.57,0.57,0,16.07,0,0,0,1.15,0,0,0,0.57,0,5.74,0,1.15,1121.79,0.57,1.15,0.57,0,2.87,1.15,0,199.68,0,0,0.57,0,0
 60-70,0,0,1.96,0,0.98,0,0,176.67,0.98,0,0.98,33.37,0,0.98,0,0,0,0.98,0.98,0,0.98,15.7,0,1.96,1835.45,0,2.94,0,0.98,0.98,0,0,262.07,0,0.98,0.98,0,3.93
 72-82,0,0,0.98,0,5.89,0.98,0,268.98,0,0,1.96,52.03,2.94,0,0,1.96,0,0,0,0,0.98,17.67,0.98,1.96,1447.95,0.98,1.96,0.98,0,0.98,0.98,0,142.34,0,1.96,0,0,0
 84-94,0,0,1.06,0,7.43,3.19,0,167.8,0,1.06,0,42.48,2.12,0,0,0,0,3.19,0,1.06,0,25.49,0,2.12,719,0,0,0,0,3.19,0,0,81.78,2.12,3.19,1.06,0,1.06
 96-106,0,0,0,0,10.93,3.28,0,135.51,0,0,1.09,29.51,1.09,0,1.09,0,0,0,0,1.09,0,15.3,1.09,1.09,570.47,1.09,1.09,1.09,0,2.19,1.09,0,38.25,0,0,0,0,1.09
108-118,0,0,0.77,1.53,5.36,2.3,0.77,119.49,0.77,0,2.3,27.57,0,0,0.77,0.77,0.77,3.06,0,0.77,0.77,7.66,0,2.3,622.73,0,0.77,0.77,0,1.53,0,0,24.51,0.77,0,1.53,0.77,0.77
120,0,0,1.96,0,13.72,0,1.96,111.71,0,0,0,45.08,3.92,0,1.96,1.96,0,1.96,0,1.96,0,15.68,1.96,1.96,966.17,1.96,0,3.92,0,1.96,3.92,0,43.12,0,0,3.92,0,0
