stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,6.29,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,10,1,0,0,0,0,0,0,1,28,0,0,0,90,0,18,17,0,1,0,4,1,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,1.64,2.46,0,0,0,0,0,0,0,36.12,1.64,1.64,0.82,45.15,0,7.39,14.78,0,0,0,0,0,0.82,2.46,2.46,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0,33.84,0,0,0,9.67,2.42,0.81,8.86,0,0.81,0.81,1.61,0.81,0,4.03,1.61,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,1.72,1.15,0.57,0.57,1.15,0,17.21,0,0,0,6.89,1.72,1.15,8.03,0,0,0.57,0.57,0,0,3.44,2.3,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,6.87,6.87,0,0,2.94,0,12.76,0,0,0,6.87,0,1.96,11.78,0,0.98,0.98,0,0,0,5.89,0,0,0,0.98,0
 72-82,0,0,0,0,1.96,1.96,0,4.91,11.78,0,0,10.8,0,5.89,0,0,0,3.93,2.94,2.94,13.74,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,1.06,0,4.25,20.18,0,0,8.5,0,4.25,0,0,0,6.37,1.06,3.19,6.37,0,0,2.12,0,0,0,2.12,2.12,1.06,1.06,1.06,0
 96-106,0,0,0,0,3.28,8.74,0,3.28,22.95,0,0,1.09,0,10.93,0,0,2.19,4.37,1.09,2.19,14.21,0,0,0,1.09,0,0,5.46,1.09,0,0,1.09,0
108-118,0,0,0.77,0,3.06,2.3,0,3.06,20.68,0,0,7.66,0,8.43,0,0,0,3.06,2.3,1.53,8.43,0,0,0,2.3,0,0,2.3,0,0,1.53,0,0.77
120,0,0,0,0,3.92,0,1.96,3.92,11.76,0,0,9.8,0,3.92,0,0,0,3.92,0,0,13.72,1.96,0,0,0,0,0,1.96,0,0,0,0,0
