stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,3.15,0,0,0,0,0,0,56.65,0,0,0,0,0,0,0,0,0,0,182.52,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,30,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,422,1,0,0,1,0,0,2,1,1,1,150,0,0,0,0
 24-34,0,0.82,0,4.1,1.64,23.8,0,0,0.82,4.1,0.82,0,0,1.64,1.64,0,0,0.82,8.21,0.82,0,2.46,724.82,0,0,1.64,0,0,4.1,0,0.82,4.1,0.82,156.78,0,0,2.46,0
 36-46,0,0,0,0.81,0,30.62,1.61,0.81,0,56.4,0,0,1.61,1.61,0,0.81,0,0,3.22,0,0.81,6.45,813.73,1.61,0.81,0,0,0,1.61,0,0,0,0,106.35,0,0,1.61,0
 48-58,0,0,0,4.59,0,57.95,0,0.57,0,146.32,0,0,1.15,1.15,0,0.57,0.57,1.15,4.02,0,0.57,1.15,449.86,0,0,0.57,0,0,0.57,0,0,0,0,31.56,0,0,0.57,0.57
 60-70,0,0,0,0.98,0,31.41,1.96,0,0,128.58,0.98,0,0,0.98,0,0,0,0,3.93,0,0,0,220.84,0,0,0,0,0,0,0,0,0,0,8.83,0,1.96,0,0
 72-82,0,0,0,4.91,0.98,29.45,0.98,0,0,89.33,0,0,0,0.98,0,0,0,0,7.85,0,0,0,173.75,0,0,0.98,0,0,0,0,0,0,0,3.93,0,0.98,0,0
 84-94,0,0,0,3.19,1.06,45.67,3.19,0,0,79.65,0,0,0,0,0,0,0,0,7.43,0,0,1.06,129.57,0,1.06,1.06,0,0,0,0,0,0,0,9.56,0,2.12,1.06,0
 96-106,0,0,0,12.02,1.09,34.97,0,0,0,65.57,0,0,0,0,1.09,0,0,0,9.84,0,0,1.09,122.4,0,1.09,0,0,0,0,0,0,0,0,2.19,1.09,2.19,0,0
108-118,0,0,0,0.77,0.77,14.55,0.77,0.77,0,58.98,0,0,0,0,0,0,0,0,4.6,0.77,1.53,1.53,136.34,0,0.77,0,0,0.77,0.77,0,0,0,0,0.77,0,0.77,0,0.77
120,0,0,0,5.88,0,19.6,0,0,0,60.75,0,0,0,0,0,0,0,0,9.8,0,0,1.96,137.18,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
