stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,527.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,28.92,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.84,5.26,0,0,120.92,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,22.03,0,3.15,62.94,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,409.11,22.03,0,0,160.5,0,6.29,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,58,8,8,0,0,3,1,0,1,0,1,0,1,0,0,11,0,0,7,156,11,1,3,6,0,3,29,2,1,21,46,0,0,0,0,0
 24-34,0,0,0,2.46,9.85,1.64,12.31,0.82,0,3.28,0,0,0.82,0,0.82,0,0.82,0.82,0,22.16,0,0,9.85,132.98,1.64,0,1.64,0,0,1.64,0,0.82,0,2.46,32.83,0,0,1.64,0,0
 36-46,0,0,0,0,5.64,0,29,0,0,4.83,0,0,2.42,0,0.81,0.81,1.61,0.81,0,23.36,0.81,0,4.03,123.27,3.22,1.61,0,0,0,3.22,0,1.61,0,0,33.03,0,0,1.61,0,0.81
 48-58,0,0,0,0,1.15,0,21.23,0.57,1.72,2.3,0,0,0.57,0,0.57,0.57,0,1.72,0.57,14.92,0,0,2.3,43.61,0.57,0.57,0.57,0,0.57,2.87,0,0.57,0,0,17.79,0,0.57,1.15,0,0
 60-70,0,0,0,0,2.94,0,9.82,0,0,2.94,0,0,0,0,0,0,0,0,0,12.76,0.98,1.96,0.98,23.56,0,0.98,0,0,0,0.98,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,8.83,0,0.98,13.74,1.96,0,0,0.98,0.98,0,1.96,1.96,0,21.6,0,0.98,2.94,27.49,0,0.98,0,0,0,0.98,0,0,0,0,1.96,0.98,0.98,1.96,0,0
 84-94,0,0,1.06,0,6.37,0,7.43,0,1.06,9.56,0,0,0,0,2.12,0,1.06,1.06,0,12.74,0,0,1.06,13.81,1.06,3.19,1.06,0,0,6.37,0,1.06,0,0,4.25,0,0,1.06,0,0
 96-106,0,0,0,0,4.37,0,4.37,1.09,0,7.65,0,0,0,0,2.19,0,0,0,0,8.74,0,1.09,1.09,2.19,1.09,1.09,0,0,0,3.28,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0,5.36,0,3.83,0.77,0,7.66,0,0,0,1.53,0,0,0.77,0.77,0.77,6.13,0,0.77,1.53,10.72,1.53,0.77,1.53,0,0,4.6,0,0,0,0,0.77,0.77,0,3.06,1.53,0
120,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,9.8,0,0,0,3.92,1.96,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0
