stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,12,4,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,5,0,0,1,39,2,1,1,0,0,0,1,5,1,0,6,21,0,0,0,0,0
 24-34,0,0,0,6.57,0,0,6.57,0,0.82,0,0.82,0.82,0,0.82,0.82,1.64,0,0,0,0,8.21,0.82,0,3.28,106.71,1.64,4.1,2.46,0,0,6.57,0,0,0.82,0,0.82,23.8,0,0,3.28,0,0.82
 36-46,0,0,0,2.42,0,0,16.92,0,0,0.81,4.83,0,0.81,0.81,0,0,0,0,0,0.81,13.7,0,0,0.81,92.65,1.61,2.42,1.61,0,0,3.22,0,0,2.42,0,0,33.03,0,0,3.22,0,0
 48-58,0.57,0,0,2.3,0.57,0,35.58,0,0,1.72,9.75,0,0.57,0,1.15,0,0,0,0.57,0.57,11.48,0.57,0,3.44,101.56,0.57,0,1.15,0,0,0.57,0,0,0,0,0,21.8,0,0,2.3,0,0.57
 60-70,0,0,0,4.91,0,0,50.06,1.96,0,0,15.7,0,0,0,1.96,0,0,0,0,0,21.59,0,0,0.98,106.99,0.98,0,0,0,0,0,0,0,0,0,0,17.67,0,0.98,1.96,0,1.96
 72-82,0,0,0,2.94,0.98,0.98,71.66,0,1.96,0,27.49,0.98,0.98,0.98,0.98,0,1.96,0,0,0,34.36,0.98,0,4.91,101.11,0.98,3.93,2.94,0,0.98,2.94,0,0,0.98,0,0,11.78,0,1.96,6.87,1.96,0.98
 84-94,0,0,0,6.37,2.12,0,42.48,0,1.06,2.12,19.12,2.12,0,1.06,7.43,2.12,0,0,2.12,0,20.18,0,3.19,2.12,64.78,0,2.12,4.25,0,0,4.25,1.06,0,0,0,0,2.12,0,2.12,7.43,1.06,1.06
 96-106,0,2.19,0,5.46,2.19,5.46,37.16,0,3.28,2.19,21.86,1.09,0,3.28,5.46,0,1.09,1.09,2.19,2.19,28.41,4.37,1.09,1.09,55.74,0,3.28,0,0,0,5.46,0,0,1.09,0,0,1.09,0,0,7.65,2.19,0
108-118,0,0,0,11.49,3.06,7.66,32.94,0,5.36,0,17.62,1.53,0,1.53,3.06,0,0.77,0,0.77,0.77,21.45,0.77,1.53,0.77,55.92,0.77,3.06,1.53,0,0.77,5.36,0,0,0.77,0.77,0,2.3,2.3,0,5.36,2.3,2.3
120,0,0,0,15.68,7.84,3.92,15.68,0,1.96,0,11.76,0,0,0,3.92,0,0,0,1.96,0,23.52,0,0,0,76.43,0,0,0,0,0,5.88,0,0,0,0,0,1.96,1.96,0,5.88,0,0
