stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,39.53,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,3.15,0,0,0
 14-21,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,0,2,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,4.93,0,0,0,17.24,0,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0,1.61,0,0,0,28.2,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0.57,2.3,0,0,0,0.57,0,1.15,0,2.3,0.57,0,0,25.82,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,1.96,2.94,0,0,0,0.98,0,0,0,0.98,0,0,0,37.3,0,0,0,0,1.96
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0,19.63,0,0,0,0,0.98
 84-94,0,0,0,2.12,3.19,1.06,5.31,0,0,0,0,0,0,0,1.06,1.06,0,0,0,48.85,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,33.88,0,0,0,1.09,0
108-118,0,0,0.77,0.77,0,0,0,0,0,0,0.77,0,0.77,0,0,1.53,0.77,0,0,21.45,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,72.51,0,0,0,0,0
