stage,blastomeres,endoderm,epidermis,eye,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,somites
  3-4,26.36,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,1,1,0,0,1,0,0,1
 24-34,0,0,0,4.1,0.82,0,0.82,0,0,0
 36-46,0,0,0,7.25,0,0,0,0,0,0
 48-58,0,0,0,6.89,0,0,1.15,0,0,0
 60-70,0,0,0,7.85,0,0,0,0,0,0
 72-82,0,0,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,10.62,0,1.06,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,0,0,0,0
108-118,0,0,0,3.06,0,0,0,0,0.77,0
120,0,0,0,5.88,0,0,0,0,0,0
