stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,7.89,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,9.44,0,0,12.59,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,1
 24-34,0,0,0,0,0,1.64,0,1.64,0,0,0,0,0,0,0.82,5.75,0,0,0.82,18.88,0,0.82,0.82,0,0,0,0,0,0,0.82,0.82,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0,0,0,0.81,6.45,0,0.81,0.81,17.72,0,0.81,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,0.57,0,1.72,0.57,0,2.3,0,0,0,0,0,0,13.2,0,0.57,0,10.9,0.57,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0.57
 60-70,0,0,0,0.98,0,9.82,0,0,3.93,0,0,0,0,0,0,3.93,0,0,0.98,16.69,0.98,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,1.96,0,0,0.98,0,0.98,0,15.71,0,0,0.98,8.83,0,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,5.31,1.06,1.06,0,1.06,0,0,0,0,1.06,9.56,1.06,0,4.25,3.19,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06,2.12,0,0
 96-106,0,0,0,0,0,2.19,1.09,0,1.09,1.09,0,0,0,0,1.09,12.02,1.09,1.09,0,7.65,0,2.19,0,0,1.09,2.19,0,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0,0.77,0,1.53,0,0.77,1.53,0.77,0.77,0,0.77,0,0,8.43,0,1.53,0,6.89,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0
