stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,184.49,2266.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0
  5-6,79.69,1575.32,0,0,0,0,0,12.26,0,0,0,0,0,0,73.56,6.13,6.13,0,36.78,0,0,0,0,0,0
  7-9,15.77,18.4,15.77,0,26.29,0,0,23.66,0,0,0,0,0,0,354.88,18.4,102.52,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,15.73,0,0,0,0,0,0,0,0,0,97.56,12.59,66.09,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,4,0,0,0,2,0,0,1,2,0,0,16,2,0,0,1,5,0,0,5,5,0
 24-34,0,0,0,0,2.46,0.82,0,13.95,0,0,0,0,0,0,5.75,0,0,0,3.28,0,0,0.82,0.82,0,0.82
 36-46,0,0,0,0.81,0,0,0.81,4.83,0,0,0,0,0,0,4.03,0,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0,1.09,1.09,0,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,0,0,0.77,0,0,0,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0
