stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1014.7,19516.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.61,0,0,0,0,0,0,0,0,0,0
  5-6,692.65,8924.75,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,263.57,36.78,0,0,79.69,79.69,0,0,0,0,0,0,0,0,0,0
  7-9,107.78,128.81,0,262.87,0,2.63,415.34,0,0,0,0,0,128.81,0,0,0,0,0,0,0,0,0,0,0,3706.49,173.5,0,0,1490.48,0,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,84.97,0,185.67,0,22.03,248.61,0,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,2199.73,66.09,0,0,944.09,3.15,18.88,3.15,103.85,0,9.44,3.15,0,0,0,0
 14-21,1,0,2,40,355,141,133,0,0,0,14,18,1,7,3,3,0,2,2,1,225,1,0,171,1252,71,4,28,93,8,2,429,20,4,213,334,0,24,0,1
 24-34,0,0,0,9.03,94.4,41.86,123.95,0,0.82,0.82,20.52,4.93,0.82,0,3.28,2.46,3.28,4.1,9.85,2.46,258.57,0,0,106.71,877.5,21.34,4.93,11.49,0,4.1,0,0.82,4.1,0,16.42,211.78,0,38.58,0,0.82
 36-46,0,0,0,1.61,28.2,5.64,29,0,0,0.81,8.06,0.81,0,1.61,0.81,0.81,0,1.61,0.81,0,122.46,0,2.42,29,208.67,4.03,0,4.03,0,3.22,0,0.81,0.81,0,0,48.34,0,12.09,0,1.61
 48-58,0,0,0,0.57,16.07,6.31,25.25,0,0.57,1.72,2.3,1.72,0,2.3,1.72,0,0.57,1.15,1.72,0,105.01,0,6.89,13.77,71.73,0,1.15,1.72,0,0,0,0,0,0,0,16.07,0.57,4.02,0,0.57
 60-70,0,0,0,0,13.74,1.96,9.82,0,0,1.96,4.91,0,0,0,0,0,0,0,0,0,72.63,0,8.83,6.87,22.58,1.96,0,1.96,0,1.96,0,0,0,0,0,4.91,0,0.98,0,0
 72-82,0,0,0,0,9.82,0,6.87,0,0,0.98,6.87,0,0,0.98,1.96,0.98,0,0,0.98,0,55.95,0,2.94,4.91,22.58,0,0,0.98,0,0,0,0,0,0,0,0.98,0,1.96,0,0
 84-94,0,0,0,0,13.81,0,5.31,0,1.06,0,0,3.19,0,0,4.25,0,0,0,2.12,0,37.17,0,1.06,5.31,18.05,0,0,2.12,0,0,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,0,0,4.37,1.09,5.46,1.09,0,0,2.19,2.19,0,2.19,4.37,0,0,0,4.37,0,19.67,0,1.09,3.28,15.3,0,1.09,3.28,0,0,0,0,1.09,0,0,0,0,2.19,0,0
108-118,0,0,0,0,4.6,1.53,6.89,0,0.77,1.53,4.6,0,0,0,3.06,0,0,0.77,1.53,0,20.68,0,0,5.36,9.96,0,0,0.77,0,0,0,0,0,0,0,0,0,2.3,0.77,0
120,0,0,0,0,3.92,0,3.92,0,0,0,1.96,3.92,0,0,5.88,1.96,0,0,0,0,11.76,0,0,1.96,15.68,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
