stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,8,10,0,2,0,0,0,0,0,0,8,0,0,0,0,17,0,0,5,8,0,0,0,0,0,2,2,0,0,6,0,0,0,0,0
 24-34,0,0,1.64,0.82,0,5.75,0,1.64,0.82,0,0,0,4.93,0,0,0,0,4.1,0,0.82,1.64,10.67,0.82,0,0,0,0,0,0,0,1.64,10.67,0,0,0.82,0,3.28
 36-46,0,0,1.61,0,0,7.25,0,0,0,0,0.81,0,4.03,0,0,1.61,0,4.83,0,3.22,0.81,12.89,0,0.81,0,0,0.81,2.42,0,0,0,2.42,0,0.81,0,0,9.67
 48-58,0,0,0.57,0.57,0,8.61,0,0,0,1.15,0,1.72,3.44,0.57,0,0,0,27.54,0,9.18,0.57,20.08,0,0,0,0,0.57,0,0,0,0.57,5.16,0,2.87,1.15,1.72,19.51
 60-70,0,0,0,0.98,0,11.78,0,0,0,0.98,0,0.98,0.98,1.96,0.98,0,0,63.8,0,29.45,0.98,39.26,0.98,0.98,0,0,0.98,0.98,0,0,0,6.87,0,20.61,0,22.58,15.7
 72-82,0,0,0.98,2.94,0,32.39,0,0,1.96,7.85,0.98,0.98,4.91,0,0,0,0,86.39,0,23.56,1.96,41.23,0,0,0,0,4.91,0,0,0,0,8.83,0,50.06,0.98,74.61,13.74
 84-94,0,0,1.06,2.12,0,42.48,0,0,1.06,6.37,1.06,2.12,2.12,0,1.06,0,2.12,46.73,0,20.18,0,22.3,0,0,0,0,2.12,3.19,0,0,0,4.25,1.06,59.47,1.06,82.84,15.93
 96-106,0,0,5.46,7.65,0,16.39,1.09,0,0,10.93,0,0,2.19,3.28,0,0,0,55.74,1.09,6.56,2.19,20.76,0,0,0,0,2.19,1.09,0,1.09,0,1.09,1.09,37.16,2.19,96.17,9.84
108-118,0,0.77,0,0.77,0,18.38,1.53,1.53,0,7.66,0,0,2.3,0,0,0,3.06,58.21,0,6.13,1.53,26.04,0.77,0,2.3,0,4.6,2.3,0,0,0,0,0,29.87,1.53,53.62,24.51
120,0,0,0,5.88,1.96,13.72,0,1.96,0,5.88,1.96,0,1.96,1.96,1.96,0,0,25.48,0,5.88,0,17.64,0,0,0,0,0,0,0,1.96,0,0,0,21.56,1.96,66.63,7.84
