stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0,4.1,0,0.82,0,27.09,3.28,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,0,0.81,0,0.81,0,0.81,0,0.81,0.81,50.76,2.42,0
 48-58,0,0,0.57,0,2.87,0,0.57,0,0.57,0.57,0.57,0,0,0,0,7.46,0,0,0,67.71,3.44,0
 60-70,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,2.94,0,0,0,57.91,0,0
 72-82,0,2.94,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0.98,2.94,0.98,0,0.98,40.25,0,0.98
 84-94,1.06,5.31,0,0,2.12,0,4.25,1.06,0,5.31,0,0,0,1.06,0,1.06,0,0,1.06,199.66,0,0
 96-106,0,8.74,0,0,3.28,0,3.28,1.09,0,4.37,0,0,1.09,2.19,0,6.56,0,2.19,2.19,206.55,0,0
108-118,0,15.32,0,0.77,3.06,0,6.89,0,0.77,9.19,0,0,2.3,2.3,0,2.3,0,2.3,0.77,215.24,0,3.06
120,0,1.96,0,0,1.96,0,7.84,0,0,1.96,0,0,0,1.96,0,3.92,0,0,5.88,123.47,0,0
