stage,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,spinal_cord
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,3
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,3.28,0,0,0,4.1
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0.81,5.64,0,0,0,2.42
 48-58,0,0,0,2.3,0,0,0,0,0,0,0,8.61,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,7.85,0.98,0,0,2.94
 72-82,0,0,0,2.94,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,0,1.09,3.28,0,0,0,0
108-118,0.77,0,0,0,0,0,0.77,0.77,0,0,0,2.3,0,0.77,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
