stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,16,0,0,0,70,0,0,0,0,0,0,0,0,96,0,0,15,0,0
 24-34,0,0.82,5.75,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,43.51,0,0,3.28,50.07,0.82,0,0,0,0.82,0,0.82,0.82,92.76,0,0,84.55,0,0
 36-46,0,0.81,0.81,0,4.83,0,0,0,16.11,0,0,0,0,0,0,0,34.64,0,0,2.42,70.09,0,0,0,0,0.81,0,0,0,56.4,0,0,90.23,0,0
 48-58,0,1.72,0,0,6.31,0,0,0.57,92.96,0,1.72,0.57,0,0,0,0,42.46,0,0,1.72,53.94,0,0,0,0,0.57,0,0,0,54.51,0,0.57,114.19,0,0
 60-70,0,0.98,0,0,10.8,0,0,0,164.9,0,0,0.98,0,0,0,0,56.93,0,0.98,3.93,31.41,0,0,0,0,0.98,0,0,0,30.43,0,0,91.28,0,0
 72-82,0,4.91,2.94,0,35.34,0.98,0,1.96,208.11,0.98,4.91,0.98,0.98,0,0,1.96,89.33,0.98,0.98,1.96,57.92,0,0,1.96,0.98,0,0,0,0,30.43,1.96,0.98,198.3,4.91,1.96
 84-94,0,5.31,2.12,0,27.61,0,0,1.06,150.81,4.25,0,1.06,1.06,0,0,0,93.46,0,1.06,1.06,12.74,1.06,0,0,1.06,1.06,0,0,0,18.05,0,1.06,167.8,10.62,2.12
 96-106,0,13.11,2.19,1.09,34.97,0,0,0,155.18,2.19,1.09,2.19,1.09,0,1.09,0,102.73,0,2.19,3.28,32.79,0,2.19,1.09,3.28,9.84,2.19,0,0,29.51,1.09,5.46,226.22,8.74,0
108-118,0,3.06,3.06,2.3,21.45,0.77,0.77,1.53,127.15,3.06,0,0.77,0,0,0,0,88.09,0,3.83,2.3,25.28,0,0,0.77,0.77,1.53,1.53,0,0,22.98,0,3.06,170.04,11.49,0
120,1.96,5.88,3.92,0,7.84,0,0,0,137.18,1.96,1.96,5.88,0,0,0,0,109.75,0,1.96,1.96,23.52,0,0,0,0,3.92,0,0,0,17.64,0,3.92,135.23,9.8,1.96
